State,District,Households,Population,Literacy_Rate
JAMMU & KASHMIR,Kupwara,113929,870354,50.51
JAMMU & KASHMIR,Badgam,103363,753745,44.53
JAMMU & KASHMIR,Leh(Ladakh),21909,133487,70.25
JAMMU & KASHMIR,Kargil,18338,140802,61.25
JAMMU & KASHMIR,Punch,90261,476835,54.89
JAMMU & KASHMIR,Rajouri,130401,642415,56.68
JAMMU & KASHMIR,Kathua,119583,616435,63.14
JAMMU & KASHMIR,Baramula,152635,1008039,54.08
JAMMU & KASHMIR,Bandipore,58392,392232,47.42
JAMMU & KASHMIR,Srinagar,191678,1236829,60.52
JAMMU & KASHMIR,Ganderbal,45361,297446,48.17
JAMMU & KASHMIR,Pulwama,86241,560440,52.45
JAMMU & KASHMIR,Shupiyan,44411,266215,51.27
JAMMU & KASHMIR,Anantnag,153640,1078692,50.57
JAMMU & KASHMIR,Kulgam,73728,424483,49.26
JAMMU & KASHMIR,Doda,79636,409936,53.44
JAMMU & KASHMIR,Ramban,55490,283713,43.73
JAMMU & KASHMIR,Kishtwar,45209,230696,46.6
JAMMU & KASHMIR,Udhampur,99240,554985,58.08
JAMMU & KASHMIR,Reasi,56689,314667,47.84
JAMMU & KASHMIR,Jammu,314199,1529958,74.32
JAMMU & KASHMIR,Samba,65385,318898,71.54
HIMACHAL PRADESH,Chamba,102460,519080,62.39
HIMACHAL PRADESH,Kangra,338887,1510075,76.33
HIMACHAL PRADESH,Lahul & Spiti,6674,31564,69.21
HIMACHAL PRADESH,Kullu,94807,437903,70.26
HIMACHAL PRADESH,Mandi,219145,999777,72.39
HIMACHAL PRADESH,Hamirpur,105519,454768,78.74
HIMACHAL PRADESH,Una,110332,521173,76.7
HIMACHAL PRADESH,Bilaspur,80485,381956,75.3
HIMACHAL PRADESH,Solan,122425,580320,73.85
HIMACHAL PRADESH,Sirmaur,98208,529855,68.44
HIMACHAL PRADESH,Shimla,184362,814010,75.26
HIMACHAL PRADESH,Kinnaur,19976,84121,72.16
PUNJAB,Gurdaspur,443666,2298323,71.13
PUNJAB,Kapurthala ,167989,815168,70.73
PUNJAB,Jalandhar,461635,2193590,73.97
PUNJAB,Hoshiarpur,336994,1586625,75.61
PUNJAB,Shahid Bhagat Singh Nagar ,129500,612310,71.61
PUNJAB,Fatehgarh Sahib,118100,600163,70.99
PUNJAB,Ludhiana,716826,3498739,73.18
PUNJAB,Moga,193256,995746,63.06
PUNJAB,Firozpur,385994,2029074,60.5
PUNJAB,Muktsar,174360,901896,58.19
PUNJAB,Faridkot,120893,617508,61.75
PUNJAB,Bathinda,273902,1388525,60.85
PUNJAB,Mansa,149630,769751,55.03
PUNJAB,Patiala,372293,1895686,66.82
PUNJAB,Amritsar ,488898,2490656,67.64
PUNJAB,Tarn Taran,203421,1119627,59.5
PUNJAB,Rupnagar,135635,684627,73.43
PUNJAB,Sahibzada Ajit Singh Nagar,205411,994628,74.06
PUNJAB,Sangrur,318870,1655169,60.54
PUNJAB,Barnala,115798,595527,60.42
CHANDIGARH,Chandigarh,241173,1055450,76.31
UTTARAKHAND,Uttarkashi,67602,330086,65.17
UTTARAKHAND,Chamoli,88964,391605,71.64
UTTARAKHAND,Rudraprayag,53542,242285,70.55
UTTARAKHAND,Tehri Garhwal,132714,618931,65.92
UTTARAKHAND,Dehradun,347001,1696694,74.23
UTTARAKHAND,Garhwal,161778,687271,72.01
UTTARAKHAND,Pithoragarh,114730,483439,71.48
UTTARAKHAND,Bageshwar,58046,259898,69.06
UTTARAKHAND,"Almora
",140577,622506,70.12
UTTARAKHAND,Champawat,53953,259648,68.45
UTTARAKHAND,Nainital,191383,954605,72.96
UTTARAKHAND,Udham Singh Nagar,308581,1648902,62.94
UTTARAKHAND,Hardwar,338104,1890422,62.33
HARYANA,Panchkula,117107,561293,72.21
HARYANA,Ambala,224334,1128350,72.5
HARYANA,Yamunanagar,235423,1214205,68.56
HARYANA,Kurukshetra,188143,964655,67.06
HARYANA,Kaithal,204274,1074304,60.18
HARYANA,Karnal,292084,1505324,64.97
HARYANA,Panipat,235640,1205437,65.25
HARYANA,Sonipat,277726,1450001,68.85
HARYANA,Jind,249736,1334152,62.42
HARYANA,Fatehabad,180637,942011,59.19
HARYANA,Sirsa,246571,1295189,60.45
HARYANA,Hisar,335608,1743931,63.9
HARYANA,Bhiwani,311380,1634445,65.46
HARYANA,Rohtak,206988,1061204,70.45
HARYANA,Jhajjar,185334,958405,70.54
HARYANA,Mahendragarh,171712,922088,68.35
HARYANA,Rewari,178043,900332,70.75
HARYANA,Gurgaon,326428,1514432,73.37
HARYANA,Mewat ,160280,1089263,41.76
HARYANA,Faridabad,358919,1809733,70.33
HARYANA,Palwal ,171157,1042708,57.52
NCT OF DELHI,North West,736253,3656539,74.06
NCT OF DELHI,North,180044,887978,76.75
NCT OF DELHI,North East,406125,2241624,71.89
NCT OF DELHI,East,358937,1709346,79.15
NCT OF DELHI,New Delhi,33208,142004,80.41
NCT OF DELHI,Central,119639,582320,75.97
NCT OF DELHI,West,533221,2543243,77.11
NCT OF DELHI,South West,494439,2292958,77.96
NCT OF DELHI,South,574133,2731929,76.08
RAJASTHAN,Ganganagar ,387511,1969168,60.6
RAJASTHAN,Hanumangarh,336192,1774692,58.27
RAJASTHAN,Bikaner,384944,2363937,54.1
RAJASTHAN,Churu,348984,2039547,56.35
RAJASTHAN,Jhunjhunun,384197,2137045,64.12
RAJASTHAN,Alwar,639720,3674179,59.4
RAJASTHAN,Bharatpur,425414,2548462,58.11
RAJASTHAN,Dhaulpur,203754,1206516,56.62
RAJASTHAN,Karauli,262503,1458248,55.26
RAJASTHAN,Sawai Madhopur,254716,1335551,55.54
RAJASTHAN,Dausa,292502,1634409,57.39
RAJASTHAN,Jaipur,1177096,6626178,64.91
RAJASTHAN,Sikar,444816,2677333,61.71
RAJASTHAN,Nagaur,578809,3307743,53.17
RAJASTHAN,Jodhpur,649013,3687165,55.1
RAJASTHAN,Jaisalmer,117171,669919,46.07
RAJASTHAN,Barmer,451629,2603751,45.64
RAJASTHAN,Jalor,326134,1828730,45.36
RAJASTHAN,Sirohi,201785,1036346,46.01
RAJASTHAN,Pali,418157,2037573,53.28
RAJASTHAN,Ajmer,494832,2583052,59.1
RAJASTHAN,Tonk,266870,1421326,52.74
RAJASTHAN,Bundi,220768,1110906,52.66
RAJASTHAN,Bhilwara,498125,2408523,52.15
RAJASTHAN,Rajsamand,243078,1156597,53.53
RAJASTHAN,Dungarpur,282029,1388552,49.09
RAJASTHAN,Banswara,367797,1797485,46.14
RAJASTHAN,Chittaurgarh,329119,1544338,53.22
RAJASTHAN,Kota,396501,1951014,66.55
RAJASTHAN,Baran,241428,1222755,56.7
RAJASTHAN,Jhalawar,283295,1411129,52.43
RAJASTHAN,Udaipur,623531,3068420,51.58
RAJASTHAN,Pratapgarh,178726,867848,46.27
UTTAR PRADESH,Saharanpur,597656,3466382,59.92
UTTAR PRADESH,Muzaffarnagar,676642,4143512,58.34
UTTAR PRADESH,Bijnor,633197,3682713,57.98
UTTAR PRADESH,Moradabad,796170,4772006,47.44
UTTAR PRADESH,Rampur,393736,2335819,44.68
UTTAR PRADESH,Jyotiba Phule Nagar,314401,1840221,53.42
UTTAR PRADESH,Meerut,579110,3443689,62.19
UTTAR PRADESH,Baghpat,209916,1303048,61.24
UTTAR PRADESH,Ghaziabad,850676,4681645,66.71
UTTAR PRADESH,Gautam Buddha Nagar,327090,1648115,68.14
UTTAR PRADESH,Bulandshahr ,587529,3499171,58.06
UTTAR PRADESH,Aligarh,611371,3673889,56.96
UTTAR PRADESH,Mahamaya Nagar,260860,1564708,60.24
UTTAR PRADESH,Mathura,423125,2547184,59.19
UTTAR PRADESH,Agra,710566,4418797,60.66
UTTAR PRADESH,Firozabad,414266,2498156,60.92
UTTAR PRADESH,Mainpuri,313690,1868529,64.43
UTTAR PRADESH,Budaun,615776,3681896,42.03
UTTAR PRADESH,Bareilly,756784,4448359,49.27
UTTAR PRADESH,Pilibhit,362573,2031007,52.24
UTTAR PRADESH,Shahjahanpur,527501,3006538,49.59
UTTAR PRADESH,Kheri,745077,4021243,50.58
UTTAR PRADESH,Sitapur,801764,4483992,50.93
UTTAR PRADESH,Hardoi,730442,4092845,54.28
UTTAR PRADESH,Unnao,588533,3108367,57.06
UTTAR PRADESH,Lucknow,860703,4589838,68.13
UTTAR PRADESH,Rae Bareli,619707,3405559,57.72
UTTAR PRADESH,Farrukhabad,314144,1885204,57.96
UTTAR PRADESH,Kannauj,280928,1656616,61.4
UTTAR PRADESH,Etawah,277527,1581810,67.14
UTTAR PRADESH,Auraiya,248197,1379545,67.47
UTTAR PRADESH,Kanpur Dehat,329817,1796184,65.15
UTTAR PRADESH,Kanpur Nagar,863338,4581268,70.79
UTTAR PRADESH,Jalaun ,288338,1689974,63.62
UTTAR PRADESH,Jhansi,367779,1998603,65.27
UTTAR PRADESH,Lalitpur,222094,1221592,52.49
UTTAR PRADESH,Hamirpur,204863,1104285,59.16
UTTAR PRADESH,Mahoba,158435,875958,55.72
UTTAR PRADESH,Banda,319963,1799410,55.74
UTTAR PRADESH,Chitrakoot,168232,991730,53.55
UTTAR PRADESH,Fatehpur,472238,2632733,57.44
UTTAR PRADESH,Pratapgarh,533546,3209141,60.19
