State,District,Reporting_Offices,Aggregate_Deposit,Gross_Bank_Credit
Andaman and Nicobar Islands,Nicobars,4.0,215.5795,66.0418
Andaman and Nicobar Islands,North and Middle Andaman,10.0,938.1867,340.0655
Andaman and Nicobar Islands,South Andamans,60.0,7395.287,4008.5892
Andhra Pradesh,Alluri Sitharama Raju,56.0,2035.9879,2233.9468
Andhra Pradesh,Anakapalli,220.0,8778.3178,15325.0997
Andhra Pradesh,Ananthapuramu,277.0,18356.4955,29453.3011
Andhra Pradesh,Annamayya,226.0,11176.8544,18877.3902
Andhra Pradesh,Bapatla,240.0,9848.7653,19289.6975
Andhra Pradesh,Chittoor,256.0,11708.7389,20036.0704
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,271.0,10314.0509,21441.4643
Andhra Pradesh,East Godavari,349.0,18029.3673,33944.5712
Andhra Pradesh,Eluru,312.0,14135.6655,26221.8554
Andhra Pradesh,Guntur,503.0,44163.2074,57449.0484
Andhra Pradesh,Kakinada,361.0,20592.0555,31295.8681
Andhra Pradesh,Krishna,425.0,36366.4238,56277.5231
Andhra Pradesh,Kurnool,271.0,16566.3475,24638.7445
Andhra Pradesh,Nandyal,234.0,9945.3012,18107.4817
Andhra Pradesh,Ntr,415.0,52908.7885,85184.6084
Andhra Pradesh,Palnadu,290.0,11515.7001,26491.2756
Andhra Pradesh,Parvathipuram Manyam,98.0,3085.7624,4875.5308
Andhra Pradesh,Prakasam,337.0,15384.8907,31290.9833
Andhra Pradesh,Sri Potti Sriramulu Nellore,379.0,21737.7224,40489.9503
Andhra Pradesh,Sri Sathya Sai,218.0,10827.9708,18236.846
Andhra Pradesh,Srikakulam,333.0,14233.5378,21684.1403
Andhra Pradesh,Tirupati,382.0,48306.5814,37336.8271
Andhra Pradesh,Visakhapatnam,594.0,76542.3921,80798.7268
Andhra Pradesh,Vizianagaram,264.0,10683.4908,16336.1137
Andhra Pradesh,West Godavari,357.0,16420.712,35311.513
Andhra Pradesh,Y.S.R.,296.0,16008.2045,27594.7239
Arunachal Pradesh,Changlang,10.0,1024.9726,329.7268
Arunachal Pradesh,East Kameng,11.0,583.6821,200.7789
Arunachal Pradesh,East Siang,19.0,2004.7092,743.1604
Arunachal Pradesh,Leparada,4.0,572.9177,145.1736
Arunachal Pradesh,Lohit,9.0,691.3287,259.4604
Arunachal Pradesh,Longding,3.0,272.7922,139.8905
Arunachal Pradesh,Lower Dibang Valley,8.0,1040.9445,222.0031
Arunachal Pradesh,Lower Siang,3.0,292.7274,172.4944
Arunachal Pradesh,Lower Subansiri,13.0,1110.963,419.067
Arunachal Pradesh,Namsai,12.0,1157.6211,309.4506
Arunachal Pradesh,Papum Pare,73.0,15497.4199,5040.3907
Arunachal Pradesh,Siang,5.0,205.5435,53.124
Arunachal Pradesh,Tawang,9.0,2102.8783,258.3146
Arunachal Pradesh,Upper Siang,4.0,744.5017,101.0365
Arunachal Pradesh,Upper Subansiri,7.0,645.5236,340.2938
Arunachal Pradesh,West Kameng,17.0,1752.4033,616.4599
Arunachal Pradesh,West Siang,9.0,1560.7278,428.8423
Assam,Bajali,24.0,1434.6646,1042.6506
Assam,Baksa,34.0,1007.5585,731.2131
Assam,Barpeta,98.0,4534.7888,3605.4504
Assam,Biswanath,57.0,2265.1611,1674.026
Assam,Bongaigaon,64.0,4150.1982,2838.5938
Assam,Cachar,173.0,12586.3189,5766.5666
Assam,Charaideo,34.0,1455.8599,841.6101
Assam,Chirang,39.0,1861.8237,1048.1569
Assam,Darrang,71.0,3097.9445,2570.0173
Assam,Dhemaji,48.0,2091.0596,1879.4392
Assam,Dhubri,83.0,4013.1145,2522.2422
Assam,Dibrugarh,179.0,14574.0629,8461.2085
Assam,Dima Hasao,32.0,1566.511,649.3875
Assam,Goalpara,66.0,3035.8093,2002.576
Assam,Golaghat,124.0,4823.1963,4516.2024
Assam,Hailakandi,45.0,2216.7803,973.1114
Assam,Hojai,29.0,1637.7422,963.8428
Assam,Jorhat,144.0,9488.7585,6452.7848
Assam,Kamrup,171.0,7845.5226,4734.1499
Assam,Kamrup Metro,471.0,91659.6387,53608.7253
Assam,Karbi Anglong,57.0,2216.9848,1943.2491
Assam,Karimganj,93.0,5447.7393,2629.5604
Assam,Kokrajhar,59.0,4425.0798,2231.6937
Assam,Lakhimpur,90.0,3815.2355,3733.4127
Assam,Majuli,16.0,339.8602,355.6185
Assam,Marigaon,66.0,2255.6394,1774.6064
Assam,Nagaon,190.0,9691.8528,7006.5167
Assam,Nalbari,84.0,3864.5832,2779.3963
Assam,Sivasagar,106.0,5890.8096,3942.4132
Assam,Sonitpur,129.0,7341.3739,5176.1627
Assam,South Salmara Mancachar,20.0,514.4918,295.9507
Assam,Tamulpur,25.0,882.9192,582.6089
Assam,Tinsukia,149.0,9603.5794,5604.5437
Assam,Udalguri,49.0,2019.4322,1481.4638
Assam,West Karbi Anglong,21.0,413.907,424.7203
Bihar,Araria,169.0,6131.6244,4700.7269
Bihar,Arwal,64.0,2564.4824,973.4535
Bihar,Aurangabad,203.0,10829.9518,4716.0101
Bihar,Banka,124.0,5464.7953,2544.5738
Bihar,Begusarai,226.0,13012.9818,9019.4739
Bihar,Bhagalpur,286.0,19701.2981,9548.0063
Bihar,Bhojpur,238.0,15004.7801,5784.3788
Bihar,Buxar,152.0,8466.2718,3432.3613
Bihar,Darbhanga,262.0,17489.0614,7872.1309
Bihar,Gaya,332.0,23723.3533,12127.671
Bihar,Gopalganj,186.0,11023.7387,4677.2151
Bihar,Jamui,123.0,6153.8743,2725.2979
Bihar,Jehanabad,95.0,5210.0061,2020.42
Bihar,Kaimur (Bhabua),123.0,5534.3677,3048.6265
Bihar,Katihar,187.0,9042.1473,6328.1589
Bihar,Khagaria,114.0,5002.4841,2816.5315
Bihar,Kishanganj,107.0,4463.9418,3305.3993
Bihar,Lakhisarai,90.0,4385.3932,1772.6491
Bihar,Madhepura,125.0,4814.6602,3070.5696
Bihar,Madhubani,284.0,12936.6218,6175.0685
Bihar,Munger,138.0,9902.9687,3004.8105
Bihar,Muzaffarpur,408.0,26210.8638,16558.543
Bihar,Nalanda,249.0,15199.0864,6136.6895
Bihar,Nawada,148.0,7463.0112,3653.2576
Bihar,Pashchim Champaran,227.0,9022.068,6734.7538
Bihar,Patna,992.0,182206.8802,85663.1212
Bihar,Purbi Champaran,309.0,14151.4326,10572.8017
Bihar,Purnia,235.0,10192.9787,9686.956
Bihar,Rohtas,242.0,13279.2325,6173.5519
Bihar,Saharsa,104.0,5869.9126,3657.747
Bihar,Samastipur,308.0,14966.6395,8510.5053
Bihar,Saran,279.0,18351.1079,6861.8256
Bihar,Sheikhpura,64.0,2915.5604,1277.8846
Bihar,Sheohar,45.0,1453.9815,907.1892
Bihar,Sitamarhi,165.0,8989.6226,4975.1877
Bihar,Siwan,255.0,17206.8339,7268.6992
Bihar,Supaul,128.0,5589.7337,3542.979
Bihar,Vaishali,263.0,14798.409,10403.896
Chandigarh,Chandigarh,411.0,126595.7554,91033.0772
Chhattisgarh,Balod,89.0,4152.301,1891.3301
Chhattisgarh,Balodabazar-Bhatapara,102.0,6029.4137,3782.0409
Chhattisgarh,Balrampur Ramanujganj,61.0,2980.3732,1078.928
Chhattisgarh,Bastar,108.0,6080.9028,4069.8113
Chhattisgarh,Bemetara,62.0,2983.68,1695.3196
Chhattisgarh,Bijapur,37.0,1069.5515,608.9126
Chhattisgarh,Bilaspur,245.0,28390.9456,18267.9548
Chhattisgarh,Dakshin Bastar Dantewada,41.0,2641.0513,3629.8588
Chhattisgarh,Dhamtari,102.0,5012.848,3496.0415
Chhattisgarh,Durg,276.0,32118.3821,17683.9248
Chhattisgarh,Gariyaband,59.0,1961.0256,1250.9233
Chhattisgarh,Gaurela Pendra Marwahi,25.0,1376.4053,731.6787
Chhattisgarh,Janjgir-Champa,114.0,6325.6509,3731.5592
Chhattisgarh,Jashpur,86.0,4613.3056,2040.0539
Chhattisgarh,Kabeerdham,65.0,2890.0487,2131.6124
Chhattisgarh,Khairagarh Chhuikhadan Gandai,29.0,1236.0522,678.1354
Chhattisgarh,Kondagaon,50.0,2186.7688,1336.37
Chhattisgarh,Korba,125.0,11709.7173,7820.1255
Chhattisgarh,Korea,31.0,2138.2194,724.7085
Chhattisgarh,Mahasamund,117.0,4630.2536,3973.9567
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,47.0,3741.1996,2109.9927
Chhattisgarh,Mohla Manpur Ambagarh Chouki,27.0,792.1058,323.4095
Chhattisgarh,Mungeli,43.0,2123.2014,1345.8985
Chhattisgarh,Narayanpur,19.0,855.8866,360.8823
Chhattisgarh,Raigarh,190.0,13298.6979,10070.1432
Chhattisgarh,Raipur,523.0,89880.1082,103177.8909
Chhattisgarh,Rajnandgaon,115.0,6788.755,4739.6335
Chhattisgarh,Sakti,43.0,2660.573,1137.2922
Chhattisgarh,Sukma,27.0,1176.1609,496.0653
Chhattisgarh,Surajpur,83.0,4901.6604,1849.4001
Chhattisgarh,Surguja,96.0,7531.666,3952.5712
Chhattisgarh,Uttar Bastar Kanker,83.0,3883.7509,2339.1436
Delhi,New Delhi,3806.0,2071013.2876,1854986.6944
Goa,North Goa,335.0,63246.4733,19325.0524
Goa,South Goa,339.0,57415.8878,12918.6377
Gujarat,Ahmadabad,1517.0,377169.8579,357497.0638
Gujarat,Amreli,174.0,10751.848,7439.444
Gujarat,Anand,387.0,44475.0736,17961.6758
Gujarat,Arvalli,123.0,5801.6806,5082.6492
Gujarat,Banas Kantha,233.0,13647.482,18776.3934
Gujarat,Bharuch,283.0,32161.5349,20476.9413
Gujarat,Bhavnagar,258.0,25556.448,18643.9706
Gujarat,Botad,65.0,3442.8485,2922.3292
Gujarat,Chhotaudepur,95.0,3674.4947,2442.265
Gujarat,Dang,18.0,1016.0955,228.0617
Gujarat,Devbhumi Dwarka,93.0,7468.962,3691.0051
Gujarat,Dohad,135.0,6663.5467,4425.9139
Gujarat,Gandhinagar,327.0,62130.4259,28241.2053
Gujarat,Gir Somnath,118.0,8351.4755,4671.5551
Gujarat,Jamnagar,240.0,29139.9682,19083.0615
Gujarat,Junagadh,217.0,20322.1176,11787.9677
Gujarat,Kachchh,413.0,61056.9592,30073.2692
Gujarat,Kheda,258.0,20904.8618,9835.2049
Gujarat,Mahesana,346.0,24604.9465,23785.2257
Gujarat,Mahisagar,97.0,5293.1542,3174.889
Gujarat,Morbi,165.0,13638.5325,24762.49
Gujarat,Narmada,63.0,2970.7696,1799.0765
Gujarat,Navsari,257.0,30101.5364,10586.2485
Gujarat,Panch Mahals,167.0,9853.3377,7562.4234
Gujarat,Patan,137.0,8462.4161,6068.6112
Gujarat,Porbandar,85.0,12503.998,4420.2572
