State,District,Market_Size_Score,Chronic_Disease_Score,Acute_Disease_Score,Healthcare_Score,Economic_Score,Development_Score,Overall_PMAF,Chronic_PMAF,Acute_PMAF,Overall_Rank,Chronic_Rank,Acute_Rank
Andaman and Nicobar Islands,Nicobars,0.0027560349510372,0.6124297276241512,0.2034584398035733,0.4255713176375491,0.0987316912627842,0.5666507871061324,30.033078293427305,37.149070758620105,23.16764711559126,392,66,762
Andaman and Nicobar Islands,North And Middle Andaman,0.0092122979158367,0.4771729825160094,0.3945567124548739,0.4016606831833322,0.1152487435103341,0.5362199327087626,29.96413009607415,32.00944448978634,27.36928683824837,399,268,514
Andaman and Nicobar Islands,South Andamans,0.0217108677867174,0.3999913334239267,0.1496458495750924,0.3670668335918005,0.1180287757844791,0.669345880350786,29.01941898026585,30.23914113768284,22.954284907921423,500,405,770
Andhra Pradesh,Adilabad,0.2518358905866109,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.139700733923192,0.5008297397089878,31.22404863307121,31.66435610468118,30.781053921806024,314,292,255
Andhra Pradesh,Alluri Sitharama Raju,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.1370195382220005,0.5173379938360513,29.101168547557243,29.389799456402542,27.402733895652958,477,503,499
Andhra Pradesh,Anakapalli,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.1418154898878465,0.5173379938360513,29.19708758087416,29.46173873139023,27.45069341231141,457,483,479
Andhra Pradesh,Anantapur,0.3754301818169814,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.139700733923192,0.5060823660221444,33.80098698394175,34.18876819242016,34.56767205341449,168,149,102
Andhra Pradesh,Ananthapuramu,0.1318648278850407,0.3478382486620008,0.368379773819711,0.5168769397437029,0.1891051733881357,0.6298516723115192,36.51615249138509,34.28426837968213,34.8418047954722,82,141,91
Andhra Pradesh,Annamayya,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.1422198839164241,0.5173379938360513,29.20517546144571,29.46780464181889,27.454737352597185,454,481,477
Andhra Pradesh,Bapatla,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.1425188518511624,0.5173379938360513,29.21115482014048,29.47228916083997,27.45772703194457,452,479,475
Andhra Pradesh,Chittoor,0.3938376968730567,0.3586330844405341,0.2916180650316801,0.5377497041403331,0.3818070891549556,0.6500927001628797,45.772255301346654,43.411939314639625,43.43003800878312,7,14,14
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.1433774059792479,0.5173379938360513,29.22832590270219,29.48516747276125,27.466312573225427,449,475,474
Andhra Pradesh,East Godavari,0.5150616475168541,0.4073688860230071,0.2427709248142606,0.5344487200508611,0.1741238432140458,0.653660898984495,44.0473003036978,44.39658500021519,43.75624886378724,17,10,12
Andhra Pradesh,Eluru,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.1447330740739509,0.5173379938360513,29.25543926459625,29.505502494181798,27.479869254172456,446,470,471
Andhra Pradesh,Guntur,0.4769062328038042,0.4428865331638691,0.2380186207387423,0.5919166165440624,0.1862642839350565,0.6359509193185372,44.62981259105532,46.03095909990397,43.49789146259256,13,4,13
Andhra Pradesh,Hyderabad,0.345629679142249,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.139700733923192,0.5409122809796231,33.90157522959667,33.941057288500296,34.1961056975347,162,158,110
Andhra Pradesh,Kakinada,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.1464016290386613,0.5173379938360513,29.288810363890452,29.53053081865245,27.496554803819564,443,466,469
Andhra Pradesh,Karimnagar,0.3631928965366157,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.139700733923192,0.5098550857153242,33.63169567219803,33.98174968374464,34.257144290401214,176,156,107
Andhra Pradesh,Khammam,0.2749878895609039,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.139700733923192,0.5095215856319493,31.86092553101629,32.21431454339665,31.605991579879237,278,253,210
Andhra Pradesh,Krishna,0.4496002457190394,0.3659707980543219,0.2432347567264741,0.5582171933328494,0.2543622623587009,0.6433813010961865,44.20327559794348,43.21457365928143,42.92756229641983,15,16,18
Andhra Pradesh,Kurnool,0.3582494917387226,0.4209560058545922,0.4537939868795198,0.5020613534589445,0.1899463099690265,0.5669516549705993,41.09167613008699,40.45838830810546,42.53729941757782,34,36,19
Andhra Pradesh,Mahbubnagar,0.3546288099301367,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.139700733923192,0.4878440802125729,33.020193830013426,33.59035789658754,33.67005660966558,205,174,128
Andhra Pradesh,Medak,0.268763175811769,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.139700733923192,0.5005379271360346,31.5567580861153,31.99998368345481,31.284495289966465,299,269,223
Andhra Pradesh,Nalgonda,0.3303871185001734,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.139700733923192,0.5076039601525428,32.930557600213554,33.30312286738798,33.239204065866225,209,194,141
Andhra Pradesh,Nandyal,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.1423253265741358,0.5173379938360513,29.207284314599946,29.46938628168457,27.455791779174305,453,480,476
