State,District,Households_x,Population,Literacy_Rate,Women_Anaemia,Pregnant_Anaemia,Children_Anaemia,Men_High_BloodSugar,Women_High_BloodSugar,Men_Elevated_BP,Women_Elevated_BP,Diarrhoea_Prevalence,ARI_Prevalence,Skilled_Births,Institutional_Births,Health_Insurance,Out_Of_Pocket_Expense,Clean_Fuel,Improved_Sanitation,Improved_Drinking_Water,Electricity,Women_10Plus_Schooling,Men_Alcohol,Women_Alcohol,Men_Tobacco,Women_Tobacco,Children_Underweight,Children_Stunted,Children_Wasted,Women_Low_BMI,Women_Overweight,ANC_First_Trimester,ANC_4Plus_Visits,IFA_100_Days,Breast_Cancer_Screening,Cervical_Cancer_Screening,Oral_Cancer_Screening,Functional_Sub_Centres,Functional_PHCs,Functional_CHCs,Functional_SDHs,Functional_DHs,Households_y,Landless_Manual_Labour,Non_Agricultural_Enterprise,Income_Tax_Households,Government_Salaried,Private_Salaried,Income_Above_10000,Refrigerator,Four_Wheeler,Kisan_Credit_Card,Reporting_Offices,Aggregate_Deposit,Gross_Bank_Credit
Andaman and Nicobar Islands,Nicobars,9288.0,36842.0,68.76,38.3,0.0,37.7,9.6,7.4,47.0,35.4,5.7,1.8,98.6,97.8,2.7,2278.0,56.9,83.5,98.8,97.9,53.5,64.5,29.6,76.8,63.5,24.6,21.6,15.7,8.2,39.1,62.8,71.7,72.6,13.2,13.4,5.4,41.0,4.0,1.0,0.0,1.0,9113.0,861.0,368.0,1834.0,2313.0,1095.0,2184.0,1855.0,127.0,30.0,4.0,215.5795,66.0418
Andaman and Nicobar Islands,North And Middle Andaman,26199.0,105597.0,74.51,62.1,0.0,30.4,9.1,7.2,32.2,27.4,4.5,7.0,98.3,97.7,2.1,1904.0,61.3,86.4,92.2,93.2,41.0,45.3,5.1,70.5,46.8,42.8,27.0,27.0,8.6,35.9,74.5,79.2,83.7,0.3,1.7,15.8,44.0,8.0,2.0,0.0,1.0,28056.0,5102.0,1286.0,5834.0,7190.0,687.0,7450.0,7984.0,1045.0,459.0,10.0,938.1867,340.0655
Andaman and Nicobar Islands,South Andamans,59064.0,238142.0,79.9,57.7,0.0,43.4,9.3,7.5,26.9,23.0,6.0,0.0,96.9,99.5,1.2,3460.0,91.9,89.3,97.9,99.6,57.5,32.8,1.7,50.8,19.6,17.4,21.1,12.6,10.0,39.0,79.4,85.9,81.0,0.7,1.3,8.0,39.0,15.0,1.0,0.0,0.0,22978.0,4172.0,1312.0,4959.0,6102.0,6546.0,6100.0,7692.0,878.0,244.0,60.0,7395.287,4008.5892
Andhra Pradesh,Adilabad,649849.0,2741239.0,54.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Alluri Sitharama Raju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,2035.9879,2233.9468
Andhra Pradesh,Anakapalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.0,8778.3178,15325.0997
Andhra Pradesh,Anantapur,968160.0,4081148.0,56.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Ananthapuramu,,,,50.5,54.9,55.8,7.5,5.4,26.7,23.4,2.5,2.6,98.3,94.7,73.2,2682.0,86.4,71.3,98.8,99.6,31.3,16.8,0.6,20.5,5.0,40.6,36.0,19.3,21.9,29.3,80.3,66.6,72.0,0.4,1.0,4.0,910.0,129.0,15.0,6.0,1.0,929561.0,270916.0,34539.0,12670.0,9525.0,7669.0,43455.0,32990.0,4977.0,38418.0,277.0,18356.4955,29453.3011
Andhra Pradesh,Annamayya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.0,11176.8544,18877.3902
Andhra Pradesh,Bapatla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,9848.7653,19289.6975
Andhra Pradesh,Chittoor,1039953.0,4174064.0,63.92,51.8,52.7,54.9,7.2,6.9,27.1,22.7,4.8,3.1,97.6,97.1,70.7,2533.0,86.6,74.6,98.5,99.7,40.3,18.3,0.4,18.7,4.3,27.9,27.1,14.8,20.1,33.4,80.3,65.3,71.7,0.3,2.2,4.0,1070.0,136.0,17.0,5.0,2.0,1251667.0,406047.0,33067.0,84078.0,30343.0,75302.0,111645.0,113173.0,13195.0,10979.0,256.0,11708.7389,20036.0704
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.0,10314.0509,21441.4643
Andhra Pradesh,East Godavari,1428528.0,5154296.0,63.8,63.0,0.0,66.8,9.2,7.5,32.2,29.0,13.3,2.2,89.9,96.6,66.4,8159.0,80.3,77.7,97.9,98.8,43.2,25.9,0.7,25.5,3.2,22.4,23.1,14.3,10.2,44.4,76.3,51.0,62.7,1.0,1.9,4.8,1288.0,163.0,25.0,4.0,1.0,1546974.0,1074314.0,21969.0,25510.0,29177.0,29655.0,46051.0,100213.0,6690.0,8634.0,349.0,18029.3673,33944.5712
Andhra Pradesh,Eluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.0,14135.6655,26221.8554
Andhra Pradesh,Guntur,1296609.0,4887813.0,60.57,59.5,51.9,59.3,10.7,7.8,31.3,25.8,10.0,1.0,95.5,98.6,71.1,3912.0,91.7,83.4,99.3,99.2,32.6,24.5,0.2,25.4,1.6,26.9,23.8,17.8,9.6,46.4,89.4,62.5,75.1,0.2,6.5,14.6,885.0,163.0,17.0,3.0,1.0,1531355.0,847209.0,23130.0,30276.0,17271.0,21322.0,54354.0,77333.0,5699.0,15471.0,503.0,44163.2074,57449.0484
Andhra Pradesh,Hyderabad,849051.0,3943323.0,73.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Kakinada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.0,20592.0555,31295.8681
Andhra Pradesh,Karimnagar,976022.0,3776269.0,58.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Khammam,754034.0,2797370.0,58.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Krishna,1243293.0,4517398.0,66.63,60.3,0.0,65.7,8.5,7.9,28.5,24.0,7.8,2.4,98.0,98.9,68.1,3715.0,89.8,79.1,94.4,99.6,46.2,22.8,0.4,21.3,1.4,21.1,29.8,14.3,10.5,40.6,81.5,73.3,56.2,2.1,5.4,12.3,855.0,152.0,13.0,2.0,1.0,1207361.0,708260.0,20073.0,31357.0,28569.0,57343.0,58524.0,116656.0,9710.0,10333.0,425.0,36366.4238,56277.5231
Andhra Pradesh,Kurnool,887652.0,4053463.0,52.48,58.6,67.8,70.8,9.2,6.9,31.8,27.0,4.5,4.2,90.6,88.5,73.3,2094.0,78.1,73.5,97.9,99.9,33.4,20.0,0.4,19.9,2.1,46.3,50.5,16.7,20.6,29.0,78.6,74.3,69.8,0.2,2.3,2.9,926.0,131.0,17.0,4.0,1.0,802437.0,258606.0,20826.0,23956.0,10130.0,9280.0,56022.0,29551.0,5341.0,16088.0,271.0,16566.3475,24638.7445
Andhra Pradesh,Mahbubnagar,869451.0,4053028.0,47.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Medak,668626.0,3033288.0,53.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Nalgonda,875939.0,3488809.0,57.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Nandyal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.0,9945.3012,18107.4817
Andhra Pradesh,Nizamabad,593234.0,2551335.0,54.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Ntr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.0,52908.7885,85184.6084
Andhra Pradesh,Palnadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.0,11515.7001,26491.2756
Andhra Pradesh,Parvathipuram Manyam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,3085.7624,4875.5308
Andhra Pradesh,Prakasam,860463.0,3397448.0,56.05,60.4,0.0,62.6,11.8,7.9,33.0,27.8,7.9,2.9,97.9,97.4,67.6,0.0,90.8,78.4,98.6,99.3,34.5,19.0,0.3,28.2,2.2,24.7,22.6,8.7,14.4,39.5,84.7,73.4,69.0,0.2,4.1,10.0,911.0,115.0,13.0,4.0,1.0,1173114.0,545830.0,49480.0,25360.0,20979.0,16209.0,58772.0,50062.0,15305.0,21560.0,337.0,15384.8907,31290.9833
Andhra Pradesh,Rangareddy,1235341.0,5296741.0,66.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Sri Potti Sriramulu Nellore,776854.0,2963557.0,61.82,59.4,0.0,67.5,7.2,8.2,25.1,23.0,8.9,3.9,100.0,97.0,72.3,1104.0,84.6,81.8,95.6,99.1,38.7,25.9,0.3,26.5,4.4,27.8,29.2,17.2,15.2,39.5,89.0,73.0,76.1,0.8,10.2,6.7,683.0,112.0,14.0,2.0,1.0,763041.0,405500.0,20848.0,26456.0,17224.0,16353.0,33060.0,61183.0,6936.0,9077.0,379.0,21737.7224,40489.9503
Andhra Pradesh,Sri Sathya Sai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.0,10827.9708,18236.846
Andhra Pradesh,Srikakulam,681330.0,2703114.0,55.32,62.6,0.0,59.6,6.8,8.2,22.9,22.1,11.9,1.3,96.4,97.9,75.6,3479.0,74.7,71.6,87.7,99.9,42.5,28.3,0.6,21.3,7.1,21.4,19.7,19.5,13.8,27.2,79.7,78.4,67.5,0.2,1.0,3.8,850.0,99.0,13.0,4.0,2.0,670378.0,313684.0,19546.0,22174.0,24481.0,9982.0,35420.0,27094.0,2545.0,13415.0,333.0,14233.5378,21684.1403
Andhra Pradesh,Tirupati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.0,48306.5814,37336.8271
Andhra Pradesh,Visakhapatnam,1097042.0,4290589.0,59.86,58.0,0.0,72.6,7.3,6.1,29.2,23.9,8.1,2.0,94.4,95.3,64.9,2200.0,72.9,77.8,91.8,99.6,46.0,30.2,1.3,22.8,6.3,33.5,31.0,21.5,17.4,23.8,79.4,58.6,75.0,0.7,1.7,4.1,808.0,163.0,10.0,4.0,2.0,672230.0,307068.0,19767.0,32960.0,13689.0,11314.0,21623.0,27275.0,2565.0,7981.0,594.0,76542.3921,80798.7268
Andhra Pradesh,Vizianagaram,587149.0,2344474.0,52.82,64.0,0.0,66.7,5.8,6.2,25.1,25.2,7.5,1.4,97.6,99.0,76.7,1931.0,60.3,61.7,93.1,99.5,37.6,32.3,0.8,21.5,11.4,32.2,36.4,19.2,16.9,28.8,76.1,71.4,59.6,0.6,4.9,7.3,673.0,88.0,8.0,3.0,2.0,542298.0,286582.0,13631.0,14202.0,16023.0,11994.0,19124.0,19066.0,1672.0,2052.0,264.0,10683.4908,16336.1137
Andhra Pradesh,Warangal,886279.0,3512576.0,58.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,West Godavari,1091525.0,3936966.0,67.37,63.0,0.0,62.3,7.2,7.3,31.4,28.8,2.7,1.0,98.5,98.7,67.6,2318.0,86.8,80.8,99.1,99.3,46.5,23.6,0.2,21.8,2.2,22.5,31.4,11.7,10.1,45.3,82.2,62.7,82.8,1.8,7.1,13.1,940.0,128.0,10.0,6.0,1.0,1415174.0,820673.0,21325.0,32908.0,22208.0,25468.0,44362.0,101788.0,8173.0,4231.0,357.0,16420.712,35311.513
Andhra Pradesh,Y.S.R.,706204.0,2882469.0,59.56,56.1,57.6,60.6,9.9,8.4,27.3,23.2,5.9,2.3,100.0,99.4,73.3,3389.0,94.3,85.4,99.9,99.8,40.0,16.0,0.2,18.0,3.1,26.7,34.4,14.1,15.9,33.9,84.4,82.8,71.2,0.9,13.4,3.6,681.0,110.0,9.0,4.0,1.0,781638.0,239321.0,13813.0,10130.0,6356.0,9856.0,27656.0,53466.0,3227.0,13776.0,296.0,16008.2045,27594.7239
Arunachal Pradesh,Anjaw,4612.0,21167.0,47.2,35.9,19.7,57.1,7.4,4.0,42.6,31.1,9.3,7.1,79.0,78.0,17.5,6515.0,29.0,86.8,86.6,96.4,28.8,68.4,31.6,66.1,22.1,16.0,23.6,14.3,2.4,22.8,52.0,32.3,16.5,0.6,0.9,0.2,8.0,6.0,4.0,0.0,1.0,3829.0,225.0,61.0,93.0,750.0,40.0,623.0,139.0,44.0,5.0,,,
Arunachal Pradesh,Changlang,29521.0,148226.0,49.37,57.2,60.6,65.3,8.2,5.6,27.5,22.8,1.3,0.8,81.3,75.1,40.5,6643.0,34.1,82.3,81.8,95.2,30.5,60.9,30.0,59.9,21.9,25.0,26.3,16.3,10.5,17.1,65.0,46.9,37.3,0.0,0.2,0.0,25.0,7.0,5.0,0.0,1.0,5558.0,447.0,153.0,426.0,716.0,75.0,683.0,272.0,74.0,46.0,10.0,1024.9726,329.7268
Arunachal Pradesh,Dibang Valley,1952.0,8004.0,55.42,62.9,39.0,88.6,5.5,3.5,45.4,32.2,3.9,0.7,88.1,85.5,28.7,7050.0,49.3,95.0,100.0,79.2,43.2,64.3,27.9,55.4,20.3,16.0,16.9,18.1,3.8,21.7,60.7,40.4,25.4,0.4,0.3,0.8,5.0,1.0,0.0,0.0,1.0,1299.0,123.0,26.0,30.0,270.0,17.0,141.0,34.0,21.0,1.0,,,
Arunachal Pradesh,East Kameng,14508.0,78690.0,48.86,26.2,13.1,51.7,6.7,4.3,29.0,19.5,7.3,2.4,80.3,76.0,25.1,8612.0,49.5,75.6,93.6,86.3,31.8,49.8,27.4,48.2,24.9,14.2,35.7,15.8,4.8,19.6,41.7,29.1,11.2,0.2,0.6,0.7,17.0,8.0,1.0,0.0,1.0,8648.0,184.0,187.0,222.0,1298.0,77.0,1021.0,405.0,56.0,27.0,11.0,583.6821,200.7789
Arunachal Pradesh,East Siang,19107.0,99214.0,63.07,35.2,32.8,51.5,7.8,5.6,38.1,29.7,8.5,2.0,89.2,90.8,30.5,12217.0,52.4,83.9,97.3,97.3,55.6,50.7,18.8,51.3,24.7,10.3,24.6,8.6,6.8,27.9,39.9,34.3,11.4,0.2,1.1,0.8,16.0,9.0,2.0,0.0,1.0,11480.0,1377.0,461.0,342.0,1978.0,208.0,2068.0,1195.0,138.0,101.0,19.0,2004.7092,743.1604
Arunachal Pradesh,Kamle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,4.0,2.0,0.0,0.0,2014.0,27.0,97.0,347.0,335.0,12.0,258.0,269.0,27.0,24.0,,,
Arunachal Pradesh,Kra Daadi,,,,22.6,2.0,62.0,5.2,2.7,26.1,19.4,6.0,1.8,81.0,73.5,24.0,20101.0,78.3,89.3,99.8,99.7,27.4,34.8,11.5,25.0,9.9,14.5,28.8,9.4,2.0,29.8,62.5,18.3,12.7,0.3,0.0,0.6,8.0,6.0,0.0,0.0,1.0,207.0,9.0,3.0,3.0,35.0,5.0,17.0,3.0,0.0,0.0,,,
Arunachal Pradesh,Kurung Kumey,15037.0,92076.0,39.76,34.8,,62.4,7.0,4.1,26.0,19.2,4.7,5.6,69.7,69.2,13.4,9838.0,57.3,78.3,99.8,99.2,34.7,50.2,27.5,39.4,16.4,13.9,29.2,15.1,2.7,23.3,45.2,44.1,23.8,0.0,0.7,1.4,13.0,4.0,2.0,0.0,1.0,190.0,3.0,3.0,2.0,7.0,0.0,6.0,7.0,2.0,0.0,,,
Arunachal Pradesh,Leparada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,0.0,0.0,0.0,,,,,,,,,,,4.0,572.9177,145.1736
Arunachal Pradesh,Lohit,30005.0,145726.0,57.0,47.2,33.2,52.5,3.2,4.0,26.6,22.1,7.5,1.7,92.3,90.2,31.9,8236.0,63.9,83.7,96.9,98.9,37.3,50.0,20.9,53.0,17.8,12.9,24.5,12.7,8.0,30.9,66.9,39.6,34.1,1.3,1.1,1.1,13.0,4.0,2.0,0.0,1.0,4314.0,465.0,109.0,107.0,654.0,81.0,593.0,358.0,8.0,74.0,9.0,691.3287,259.4604
Arunachal Pradesh,Longding,,,,34.1,19.1,38.4,7.3,5.3,31.1,20.5,0.5,0.8,65.0,64.5,23.8,3778.0,22.4,83.5,62.5,97.4,27.7,55.2,21.8,56.1,16.0,13.8,15.8,20.6,4.0,13.7,65.8,39.6,33.4,0.0,0.0,0.0,8.0,2.0,3.0,0.0,0.0,6812.0,75.0,175.0,158.0,532.0,76.0,426.0,156.0,9.0,44.0,3.0,272.7922,139.8905
Arunachal Pradesh,Lower Dibang Valley,11600.0,54080.0,58.89,34.6,19.6,51.5,7.1,4.6,38.1,25.6,2.8,1.0,93.7,90.1,36.8,6112.0,57.4,89.9,99.5,84.4,51.9,48.7,20.3,52.1,20.6,9.7,14.3,7.6,4.1,16.8,56.3,48.6,25.8,0.2,0.0,0.2,13.0,4.0,4.0,0.0,1.0,7796.0,789.0,198.0,214.0,1313.0,283.0,1093.0,486.0,152.0,27.0,8.0,1040.9445,222.0031
