State,District
Jammu and Kashmir,Badgam
Jammu and Kashmir,Leh(Ladakh)
Jammu and Kashmir,Kargil
Jammu and Kashmir,Punch
Jammu and Kashmir,Baramula
Jammu and Kashmir,Bandipore
Jammu and Kashmir,Shupiyan
Himachal Pradesh,Lahul & Spiti
Punjab,Firozpur
Punjab,Muktsar
Punjab,Sahibzada Ajit Singh Nagar
Uttarakhand,Uttarkashi
Uttarakhand,Rudraprayag
Uttarakhand,Garhwal
Uttarakhand,Udham Singh Nagar
Uttarakhand,Hardwar
Haryana,Gurgaon
Haryana,Mewat
Delhi,North West
Delhi,North
Delhi,North East
Delhi,East
Delhi,New Delhi
Delhi,Central
Delhi,West
Delhi,South West
Delhi,South
Rajasthan,Jhunjhunun
Rajasthan,Dhaulpur
Rajasthan,Jalor
Rajasthan,Chittaurgarh
Uttar Pradesh,Jyotiba Phule Nagar
Uttar Pradesh,Mahamaya Nagar
Uttar Pradesh,Allahabad
Uttar Pradesh,Bara Banki
Uttar Pradesh,Faizabad
Uttar Pradesh,Siddharthnagar
Uttar Pradesh,Kushinagar
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi)
Uttar Pradesh,Kanshiram Nagar
Bihar,Purba Champaran
Sikkim,North District
Sikkim,West District
Sikkim,South District
Sikkim,East District
Mizoram,Saiha
Meghalaya,Ribhoi
Meghalaya,Jaintia Hills
Assam,Morigaon
Assam,Kamrup Metropolitan
West Bengal,Darjiling
West Bengal,Koch Bihar
West Bengal,Maldah
West Bengal,Barddhaman
West Bengal,North Twenty Four Parganas
West Bengal,Hugli
West Bengal,Puruliya
West Bengal,Haora
West Bengal,Kolkata
West Bengal,South Twenty Four Parganas
Jharkhand,Kodarma
Jharkhand,Sahibganj
Jharkhand,Purbi Singhbhum
Jharkhand,Pashchimi Singhbhum
Jharkhand,Saraikela-Kharsawan
Odisha,Debagarh
Odisha,Baudh
Odisha,Subarnapur
Odisha,Nabarangapur
Chhattisgarh,Koriya
Chhattisgarh,Janjgir - Champa
Madhya Pradesh,Hoshangabad
Gujarat,The Dangs
Daman and Diu,Diu
Daman and Diu,Daman
Dadra and Nagar Haveli,Dadra & Nagar Haveli
Maharashtra,Buldana
Maharashtra,Gondiya
Maharashtra,Aurangabad
Maharashtra,Mumbai Suburban
Maharashtra,Mumbai
Maharashtra,Raigarh
Maharashtra,Ahmadnagar
Maharashtra,Bid
Maharashtra,Osmanabad
Andhra Pradesh,Adilabad
Andhra Pradesh,Nizamabad
Andhra Pradesh,Karimnagar
Andhra Pradesh,Medak
Andhra Pradesh,Hyderabad
Andhra Pradesh,Rangareddy
Andhra Pradesh,Mahbubnagar
Andhra Pradesh,Nalgonda
Andhra Pradesh,Warangal
Andhra Pradesh,Khammam
Andhra Pradesh,Anantapur
Karnataka,Belgaum
Karnataka,Bagalkot
Karnataka,Bijapur
Karnataka,Bellary
Karnataka,Davanagere
Karnataka,Shimoga
Karnataka,Chikmagalur
Karnataka,Tumkur
Karnataka,Bangalore
Karnataka,Mysore
Karnataka,Chamarajanagar
Karnataka,Gulbarga
Karnataka,Bangalore Rural
Lakshadweep,Lakshadweep
Tamil Nadu,Chennai
Tamil Nadu,Kancheepuram
Tamil Nadu,Viluppuram
Tamil Nadu,Thoothukkudi
Puducherry,Yanam
Puducherry,Puducherry
Puducherry,Mahe
Andaman and Nicobar Islands,North & Middle Andaman
Andaman and Nicobar Islands,South Andaman
