State,District
Andaman and Nicobar Islands,North And Middle Andaman
Andaman and Nicobar Islands,South Andamans
Andhra Pradesh,Ananthapuramu
Arunachal Pradesh,Kamle
Arunachal Pradesh,Kra Daadi
Arunachal Pradesh,Leparada
Arunachal Pradesh,Longding
Arunachal Pradesh,Lower Siang
Arunachal Pradesh,Namsai
Arunachal Pradesh,Pakke Kessang
Arunachal Pradesh,Shi Yomi
Arunachal Pradesh,Siang
Assam,Biswanath
Assam,Charaideo
Assam,Hojai
Assam,Kamrup Metro
Assam,Majuli
Assam,Marigaon
Assam,South Salmara Mancachar
Assam,West Karbi Anglong
Bihar,Purbi Champaran
Chhattisgarh,Balod
Chhattisgarh,Balodabazar-Bhatapara
Chhattisgarh,Balrampur Ramanujganj
Chhattisgarh,Bemetara
Chhattisgarh,Gaurela Pendra Marwahi
Chhattisgarh,Janjgir-Champa
Chhattisgarh,Kondagaon
Chhattisgarh,Sukma
Chhattisgarh,Surajpur
Chhattisgarh,Unknown Districts Of India
Delhi,Shahdara
Delhi,South East
Gujarat,Arvalli
Gujarat,Botad
Gujarat,Chhotaudepur
Gujarat,Dang
Gujarat,Gir Somnath
Gujarat,Mahisagar
Gujarat,Morbi
Gujarat,Unknown Districts Of India
Haryana,Charki Dadri
Haryana,Gurugram
Haryana,Nuh
Himachal Pradesh,Lahul And Spiti
Jammu and Kashmir,Bandipora
Jammu and Kashmir,Baramulla
Jammu and Kashmir,Budgam
Jammu and Kashmir,Poonch
Jammu and Kashmir,Shopian
Jharkhand,East Singhbum
Jharkhand,Koderma
Jharkhand,Sahebganj
Jharkhand,Saraikela Kharsawan
Jharkhand,West Singhbhum
Karnataka,Bagalkote
Karnataka,Ballari
Karnataka,Belagavi
Karnataka,Bengaluru Rural
Karnataka,Bengaluru Urban
Karnataka,Chikkamagaluru
Karnataka,Davangere
Karnataka,Kalaburagi
Karnataka,Mysuru
Karnataka,Shivamogga
Karnataka,Tumakuru
Karnataka,Vijayapura
Ladakh,Kargil
Ladakh,Leh Ladakh
Lakshadweep,Lakshadweep District
Madhya Pradesh,Agar-Malwa
Madhya Pradesh,Narmadapuram
Madhya Pradesh,Niwari
Maharashtra,Ahmednagar
Maharashtra,Beed
Maharashtra,Buldhana
Maharashtra,Chhatrapati Sambhajinagar
Maharashtra,Dharashiv
Maharashtra,Gondia
Maharashtra,Palghar
Maharashtra,Raigad
Maharashtra,Unknown Districts Of India
Manipur,Jiribam
Manipur,Kakching
Manipur,Kamjong
Manipur,Kangpokpi
Manipur,Noney
Manipur,Pherzawl
Manipur,Tengnoupal
Meghalaya,East Jaintia Hills
Meghalaya,Ri Bhoi
Meghalaya,South West Garo Hills
Meghalaya,South West Khasi Hills
Meghalaya,West Jaintia Hills
Mizoram,Hnahthial
Mizoram,Khawzawl
Mizoram,Saitual
Mizoram,Siaha
Nagaland,Noklak
Odisha,Boudh
Odisha,Deogarh
Odisha,Nabarangpur
Odisha,Sonepur
Puducherry,Pondicherry
Punjab,Fazilka
Punjab,Ferozepur
Punjab,Malerkotla
Punjab,Pathankot
Punjab,S.A.S Nagar
Punjab,Sri Muktsar Sahib
Rajasthan,Dholpur
Rajasthan,Jalore
Rajasthan,Jhunjhunu
Sikkim,Gangtok
Sikkim,Gyalshing
Sikkim,Mangan
Sikkim,Namchi
Tamil Nadu,Chengalpattu
Tamil Nadu,Kallakurichi
Tamil Nadu,Kanchipuram
Tamil Nadu,Mayiladuthurai
Tamil Nadu,Tenkasi
Tamil Nadu,Tirupathur
Tamil Nadu,Tuticorin
Tamil Nadu,Villupuram
Telangana,Adilabad
Telangana,Bhadradri Kothagudem
Telangana,Hanumakonda
Telangana,Hyderabad
Telangana,Jagitial
Telangana,Jangoan
Telangana,Jayashankar Bhupalapally
Telangana,Jogulamba Gadwal
Telangana,Kamareddy
Telangana,Karimnagar
Telangana,Khammam
Telangana,Kumuram Bheem Asifabad
Telangana,Mahabubabad
Telangana,Mahabubnagar
Telangana,Mancherial
Telangana,Medak
Telangana,Medchal Malkajgiri
Telangana,Mulugu
Telangana,Nagarkurnool
Telangana,Nalgonda
Telangana,Narayanpet
Telangana,Nirmal
Telangana,Nizamabad
Telangana,Peddapalli
Telangana,Rajanna Sircilla
Telangana,Ranga Reddy
Telangana,Sangareddy
Telangana,Siddipet
Telangana,Suryapet
Telangana,Vikarabad
Telangana,Warangal
Telangana,Yadadri Bhuvanagiri
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli
The Dadra And Nagar Haveli And Daman And Diu,Daman
The Dadra And Nagar Haveli And Daman And Diu,Diu
Tripura,Gomati
Tripura,Khowai
Tripura,Sepahijala
Tripura,Unakoti
Uttar Pradesh,Amethi
Uttar Pradesh,Amroha
Uttar Pradesh,Ayodhya
Uttar Pradesh,Barabanki
