State,District
Andaman and Nicobar Islands,North And Middle Andaman
Andaman and Nicobar Islands,South Andamans
Andhra Pradesh,Ananthapuramu
Arunachal Pradesh,Kamle
Arunachal Pradesh,Kra Daadi
Arunachal Pradesh,Longding
Arunachal Pradesh,Lower Siang
Arunachal Pradesh,Namsai
Arunachal Pradesh,Siang
Assam,Biswanath
Assam,Charaideo
Assam,Hojai
Assam,Kamrup Metro
Assam,Majuli
Assam,Marigaon
Assam,South Salmara Mancachar
Assam,West Karbi Anglong
Bihar,Purbi Champaran
Chhattisgarh,Balod
Chhattisgarh,Balodabazar-Bhatapara
Chhattisgarh,Balrampur Ramanujganj
Chhattisgarh,Bemetara
Chhattisgarh,Gariyaband
Chhattisgarh,Janjgir-Champa
Chhattisgarh,Kondagaon
Chhattisgarh,Korea
Chhattisgarh,Mungeli
Chhattisgarh,Sukma
Chhattisgarh,Surajpur
Gujarat,Arvalli
Gujarat,Botad
Gujarat,Chhotaudepur
Gujarat,Dang
Gujarat,Devbhumi Dwarka
Gujarat,Gir Somnath
Gujarat,Mahisagar
Gujarat,Morbi
Haryana,Charki Dadri
Haryana,Gurugram
Haryana,Nuh
Himachal Pradesh,Lahul And Spiti
Jammu and Kashmir,Bandipora
Jammu and Kashmir,Baramulla
Jammu and Kashmir,Budgam
Jammu and Kashmir,Poonch
Jammu and Kashmir,Shopian
Jharkhand,East Singhbum
Jharkhand,Koderma
Jharkhand,Sahebganj
Jharkhand,Saraikela Kharsawan
Jharkhand,West Singhbhum
Karnataka,Bagalkote
Karnataka,Ballari
Karnataka,Belagavi
Karnataka,Bengaluru Rural
Karnataka,Bengaluru Urban
Karnataka,Chamarajanagara
Karnataka,Chikkamagaluru
Karnataka,Davangere
Karnataka,Kalaburagi
Karnataka,Mysuru
Karnataka,Shivamogga
Karnataka,Tumakuru
Karnataka,Vijayapura
Madhya Pradesh,Agar-Malwa
Madhya Pradesh,Narmadapuram
Maharashtra,Ahmednagar
Maharashtra,Beed
Maharashtra,Buldhana
Maharashtra,Chhatrapati Sambhajinagar
Maharashtra,Dharashiv
Maharashtra,Gondia
Maharashtra,Palghar
Maharashtra,Raigad
Manipur,Jiribam
Manipur,Kakching
Manipur,Kamjong
Manipur,Kangpokpi
Manipur,Noney
Manipur,Pherzawl
Manipur,Tengnoupal
Meghalaya,East Jaintia Hills
Meghalaya,North Garo Hills
Meghalaya,Ri Bhoi
Meghalaya,South West Garo Hills
Meghalaya,South West Khasi Hills
Meghalaya,West Jaintia Hills
Mizoram,Siaha
Odisha,Boudh
Odisha,Deogarh
Odisha,Nabarangpur
Odisha,Sonepur
Puducherry,Pondicherry
Punjab,Fazilka
Punjab,Ferozepur
Punjab,Pathankot
Punjab,S.A.S Nagar
Punjab,Sri Muktsar Sahib
Rajasthan,Chittorgarh
Rajasthan,Dholpur
Rajasthan,Jalore
Rajasthan,Jhunjhunu
Sikkim,Gangtok
Sikkim,Gyalshing
Sikkim,Mangan
Sikkim,Namchi
Tamil Nadu,Kanchipuram
Tamil Nadu,Tuticorin
Tamil Nadu,Villupuram
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli
The Dadra And Nagar Haveli And Daman And Diu,Daman
The Dadra And Nagar Haveli And Daman And Diu,Diu
Tripura,Gomati
Tripura,Khowai
Tripura,Sepahijala
Tripura,Unakoti
Uttar Pradesh,Amethi
Uttar Pradesh,Amroha
Uttar Pradesh,Ayodhya
Uttar Pradesh,Barabanki
Uttar Pradesh,Bhadohi
Uttar Pradesh,Hapur
Uttar Pradesh,Hathras
Uttar Pradesh,Kasganj
Uttar Pradesh,Kushi Nagar
Uttar Pradesh,Prayagraj
Uttar Pradesh,Sambhal
Uttar Pradesh,Shamli
Uttar Pradesh,Siddharth Nagar
Uttarakhand,Haridwar
Uttarakhand,Pauri Garhwal
Uttarakhand,Rudra Prayag
Uttarakhand,Udam Singh Nagar
Uttarakhand,Uttar Kashi
West Bengal,Alipurduar
West Bengal,Coochbehar
West Bengal,Darjeeling
West Bengal,Hooghly
West Bengal,Howrah
West Bengal,Jhargram
West Bengal,Kalimpong
West Bengal,Malda
West Bengal,North 24 Parganas
West Bengal,Paschim Bardhaman
West Bengal,Purba Bardhaman
West Bengal,Purulia
West Bengal,South 24 Parganas
