State,District,Households,Population,Literacy_Rate
Jammu and Kashmir,Kupwara,113929,870354,50.51
Jammu and Kashmir,Budgam,103363,753745,44.53
Jammu and Kashmir,Leh(Ladakh),21909,133487,70.25
Jammu and Kashmir,Kargil,18338,140802,61.25
Jammu and Kashmir,Poonch,90261,476835,54.89
Jammu and Kashmir,Rajouri,130401,642415,56.68
Jammu and Kashmir,Kathua,119583,616435,63.14
Jammu and Kashmir,Baramulla,152635,1008039,54.08
Jammu and Kashmir,Bandipora,58392,392232,47.42
Jammu and Kashmir,Srinagar,191678,1236829,60.52
Jammu and Kashmir,Ganderbal,45361,297446,48.17
Jammu and Kashmir,Pulwama,86241,560440,52.45
Jammu and Kashmir,Shopian,44411,266215,51.27
Jammu and Kashmir,Anantnag,153640,1078692,50.57
Jammu and Kashmir,Kulgam,73728,424483,49.26
Jammu and Kashmir,Doda,79636,409936,53.44
Jammu and Kashmir,Ramban,55490,283713,43.73
Jammu and Kashmir,Kishtwar,45209,230696,46.6
Jammu and Kashmir,Udhampur,99240,554985,58.08
Jammu and Kashmir,Reasi,56689,314667,47.84
Jammu and Kashmir,Jammu,314199,1529958,74.32
Jammu and Kashmir,Samba,65385,318898,71.54
Himachal Pradesh,Chamba,102460,519080,62.39
Himachal Pradesh,Kangra,338887,1510075,76.33
Himachal Pradesh,Lahaul And Spiti,6674,31564,69.21
Himachal Pradesh,Kullu,94807,437903,70.26
Himachal Pradesh,Mandi,219145,999777,72.39
Himachal Pradesh,Hamirpur,105519,454768,78.74
Himachal Pradesh,Una,110332,521173,76.7
Himachal Pradesh,Bilaspur,80485,381956,75.3
Himachal Pradesh,Solan,122425,580320,73.85
Himachal Pradesh,Sirmaur,98208,529855,68.44
Himachal Pradesh,Shimla,184362,814010,75.26
Himachal Pradesh,Kinnaur,19976,84121,72.16
Punjab,Gurdaspur,443666,2298323,71.13
Punjab,Kapurthala,167989,815168,70.73
Punjab,Jalandhar,461635,2193590,73.97
Punjab,Hoshiarpur,336994,1586625,75.61
Punjab,Shahid Bhagat Singh Nagar,129500,612310,71.61
Punjab,Fatehgarh Sahib,118100,600163,70.99
Punjab,Ludhiana,716826,3498739,73.18
Punjab,Moga,193256,995746,63.06
Punjab,Ferozepur,385994,2029074,60.5
Punjab,Muktsar,174360,901896,58.19
Punjab,Faridkot,120893,617508,61.75
Punjab,Bathinda,273902,1388525,60.85
Punjab,Mansa,149630,769751,55.03
Punjab,Patiala,372293,1895686,66.82
Punjab,Amritsar,488898,2490656,67.64
Punjab,Tarn Taran,203421,1119627,59.5
Punjab,Rupnagar,135635,684627,73.43
Punjab,Sahibzada Ajit Singh Nagar,205411,994628,74.06
Punjab,Sangrur,318870,1655169,60.54
Punjab,Barnala,115798,595527,60.42
Chandigarh,Chandigarh,241173,1055450,76.31
Uttarakhand,Uttar Kashi,67602,330086,65.17
Uttarakhand,Chamoli,88964,391605,71.64
Uttarakhand,Rudra Prayag,53542,242285,70.55
Uttarakhand,Tehri Garhwal,132714,618931,65.92
Uttarakhand,Dehradun,347001,1696694,74.23
Uttarakhand,Garhwal,161778,687271,72.01
Uttarakhand,Pithoragarh,114730,483439,71.48
Uttarakhand,Bageshwar,58046,259898,69.06
Uttarakhand,Almora,140577,622506,70.12
Uttarakhand,Champawat,53953,259648,68.45
Uttarakhand,Nainital,191383,954605,72.96
Uttarakhand,Udam Singh Nagar,308581,1648902,62.94
Uttarakhand,Haridwar,338104,1890422,62.33
Haryana,Panchkula,117107,561293,72.21
Haryana,Ambala,224334,1128350,72.5
Haryana,Yamunanagar,235423,1214205,68.56
Haryana,Kurukshetra,188143,964655,67.06
Haryana,Kaithal,204274,1074304,60.18
Haryana,Karnal,292084,1505324,64.97
Haryana,Panipat,235640,1205437,65.25
Haryana,Sonipat,277726,1450001,68.85
Haryana,Jind,249736,1334152,62.42
Haryana,Fatehabad,180637,942011,59.19
Haryana,Sirsa,246571,1295189,60.45
Haryana,Hisar,335608,1743931,63.9
Haryana,Bhiwani,311380,1634445,65.46
Haryana,Rohtak,206988,1061204,70.45
Haryana,Jhajjar,185334,958405,70.54
Haryana,Mahendragarh,171712,922088,68.35
Haryana,Rewari,178043,900332,70.75
Haryana,Gurugram,326428,1514432,73.37
Haryana,Nuh,160280,1089263,41.76
Haryana,Faridabad,358919,1809733,70.33
Haryana,Palwal,171157,1042708,57.52
Delhi,North West,736253,3656539,74.06
Delhi,North,180044,887978,76.75
Delhi,North East,406125,2241624,71.89
Delhi,East,358937,1709346,79.15
Delhi,New Delhi,33208,142004,80.41
Delhi,Central,119639,582320,75.97
Delhi,West,533221,2543243,77.11
Delhi,South West,494439,2292958,77.96
Delhi,South,574133,2731929,76.08
Rajasthan,Ganganagar,387511,1969168,60.6
Rajasthan,Hanumangarh,336192,1774692,58.27
Rajasthan,Bikaner,384944,2363937,54.1
Rajasthan,Churu,348984,2039547,56.35
Rajasthan,Jhunjhunu,384197,2137045,64.12
Rajasthan,Alwar,639720,3674179,59.4
Rajasthan,Bharatpur,425414,2548462,58.11
Rajasthan,Dhaulpur,203754,1206516,56.62
Rajasthan,Karauli,262503,1458248,55.26
Rajasthan,Sawai Madhopur,254716,1335551,55.54
Rajasthan,Dausa,292502,1634409,57.39
Rajasthan,Jaipur,1177096,6626178,64.91
Rajasthan,Sikar,444816,2677333,61.71
Rajasthan,Nagaur,578809,3307743,53.17
Rajasthan,Jodhpur,649013,3687165,55.1
Rajasthan,Jaisalmer,117171,669919,46.07
Rajasthan,Barmer,451629,2603751,45.64
Rajasthan,Jalore,326134,1828730,45.36
Rajasthan,Sirohi,201785,1036346,46.01
Rajasthan,Pali,418157,2037573,53.28
Rajasthan,Ajmer,494832,2583052,59.1
Rajasthan,Tonk,266870,1421326,52.74
Rajasthan,Bundi,220768,1110906,52.66
Rajasthan,Bhilwara,498125,2408523,52.15
Rajasthan,Rajsamand,243078,1156597,53.53
Rajasthan,Dungarpur,282029,1388552,49.09
Rajasthan,Banswara,367797,1797485,46.14
Rajasthan,Chittaurgarh,329119,1544338,53.22
Rajasthan,Kota,396501,1951014,66.55
Rajasthan,Baran,241428,1222755,56.7
Rajasthan,Jhalawar,283295,1411129,52.43
Rajasthan,Udaipur,623531,3068420,51.58
Rajasthan,Pratapgarh,178726,867848,46.27
Uttar Pradesh,Saharanpur,597656,3466382,59.92
Uttar Pradesh,Muzaffarnagar,676642,4143512,58.34
Uttar Pradesh,Bijnor,633197,3682713,57.98
Uttar Pradesh,Moradabad,796170,4772006,47.44
Uttar Pradesh,Rampur,393736,2335819,44.68
Uttar Pradesh,Jyotiba Phule Nagar,314401,1840221,53.42
Uttar Pradesh,Meerut,579110,3443689,62.19
Uttar Pradesh,Baghpat,209916,1303048,61.24
Uttar Pradesh,Ghaziabad,850676,4681645,66.71
Uttar Pradesh,Gautam Buddha Nagar,327090,1648115,68.14
Uttar Pradesh,Bulandshahr,587529,3499171,58.06
Uttar Pradesh,Aligarh,611371,3673889,56.96
