State,District,Women_Anaemia,Pregnant_Anaemia,Children_Anaemia,Men_High_BloodSugar,Women_High_BloodSugar,Men_Elevated_BP,Women_Elevated_BP,Diarrhoea_Prevalence,ARI_Prevalence,Skilled_Births,Institutional_Births,Health_Insurance,Out_Of_Pocket_Expense,Clean_Fuel,Improved_Sanitation,Improved_Drinking_Water,Electricity,Women_10Plus_Schooling,Men_Alcohol,Women_Alcohol,Men_Tobacco,Women_Tobacco,Children_Underweight,Children_Stunted,Children_Wasted,Women_Low_BMI,Women_Overweight,ANC_First_Trimester,ANC_4Plus_Visits,IFA_100_Days,Breast_Cancer_Screening,Cervical_Cancer_Screening,Oral_Cancer_Screening
Andaman and Nicobar Islands,Nicobars,38.3,0.0,37.7,9.6,7.4,47.0,35.4,5.7,1.8,98.6,97.8,2.7,2278,56.9,83.5,98.8,97.9,53.5,64.5,29.6,76.8,63.5,24.6,21.6,15.7,8.2,39.1,62.8,71.7,72.6,13.2,13.4,5.4
Andaman and Nicobar Islands,North And Middle Andaman,62.1,0.0,30.4,9.1,7.2,32.2,27.4,4.5,7.0,98.3,97.7,2.1,1904,61.3,86.4,92.2,93.2,41.0,45.3,5.1,70.5,46.8,42.8,27.0,27.0,8.6,35.9,74.5,79.2,83.7,0.3,1.7,15.8
Andaman and Nicobar Islands,South Andamans,57.7,0.0,43.4,9.3,7.5,26.9,23.0,6.0,0.0,96.9,99.5,1.2,3460,91.9,89.3,97.9,99.6,57.5,32.8,1.7,50.8,19.6,17.4,21.1,12.6,10.0,39.0,79.4,85.9,81.0,0.7,1.3,8.0
Andhra Pradesh,Ananthapuramu,50.5,54.9,55.8,7.5,5.4,26.7,23.4,2.5,2.6,98.3,94.7,73.2,2682,86.4,71.3,98.8,99.6,31.3,16.8,0.6,20.5,5.0,40.6,36.0,19.3,21.9,29.3,80.3,66.6,72.0,0.4,1.0,4.0
Andhra Pradesh,Chittoor,51.8,52.7,54.9,7.2,6.9,27.1,22.7,4.8,3.1,97.6,97.1,70.7,2533,86.6,74.6,98.5,99.7,40.3,18.3,0.4,18.7,4.3,27.9,27.1,14.8,20.1,33.4,80.3,65.3,71.7,0.3,2.2,4.0
Andhra Pradesh,East Godavari,63.0,0.0,66.8,9.2,7.5,32.2,29.0,13.3,2.2,89.9,96.6,66.4,8159,80.3,77.7,97.9,98.8,43.2,25.9,0.7,25.5,3.2,22.4,23.1,14.3,10.2,44.4,76.3,51.0,62.7,1.0,1.9,4.8
Andhra Pradesh,Guntur,59.5,51.9,59.3,10.7,7.8,31.3,25.8,10.0,1.0,95.5,98.6,71.1,3912,91.7,83.4,99.3,99.2,32.6,24.5,0.2,25.4,1.6,26.9,23.8,17.8,9.6,46.4,89.4,62.5,75.1,0.2,6.5,14.6
Andhra Pradesh,Krishna,60.3,0.0,65.7,8.5,7.9,28.5,24.0,7.8,2.4,98.0,98.9,68.1,3715,89.8,79.1,94.4,99.6,46.2,22.8,0.4,21.3,1.4,21.1,29.8,14.3,10.5,40.6,81.5,73.3,56.2,2.1,5.4,12.3
Andhra Pradesh,Kurnool,58.6,67.8,70.8,9.2,6.9,31.8,27.0,4.5,4.2,90.6,88.5,73.3,2094,78.1,73.5,97.9,99.9,33.4,20.0,0.4,19.9,2.1,46.3,50.5,16.7,20.6,29.0,78.6,74.3,69.8,0.2,2.3,2.9
Andhra Pradesh,Prakasam,60.4,0.0,62.6,11.8,7.9,33.0,27.8,7.9,2.9,97.9,97.4,67.6,0,90.8,78.4,98.6,99.3,34.5,19.0,0.3,28.2,2.2,24.7,22.6,8.7,14.4,39.5,84.7,73.4,69.0,0.2,4.1,10.0
Andhra Pradesh,Sri Potti Sriramulu Nellore,59.4,0.0,67.5,7.2,8.2,25.1,23.0,8.9,3.9,100.0,97.0,72.3,1104,84.6,81.8,95.6,99.1,38.7,25.9,0.3,26.5,4.4,27.8,29.2,17.2,15.2,39.5,89.0,73.0,76.1,0.8,10.2,6.7
Andhra Pradesh,Srikakulam,62.6,0.0,59.6,6.8,8.2,22.9,22.1,11.9,1.3,96.4,97.9,75.6,3479,74.7,71.6,87.7,99.9,42.5,28.3,0.6,21.3,7.1,21.4,19.7,19.5,13.8,27.2,79.7,78.4,67.5,0.2,1.0,3.8
