State,District,Functional_Sub_Centres,Functional_PHCs,Functional_CHCs,Functional_SDHs,Functional_DHs
Andaman and Nicobar Islands,Nicobars,41.0,4.0,1.0,0.0,1.0
Andaman and Nicobar Islands,North And Middle Andaman,44.0,8.0,2.0,0.0,1.0
Andaman and Nicobar Islands,South Andamans,39.0,15.0,1.0,0.0,0.0
Andhra Pradesh,Ananthapuramu,910.0,129.0,15.0,6.0,1.0
Andhra Pradesh,Chittoor,1070.0,136.0,17.0,5.0,2.0
Andhra Pradesh,East Godavari,1288.0,163.0,25.0,4.0,1.0
Andhra Pradesh,Guntur,885.0,163.0,17.0,3.0,1.0
Andhra Pradesh,Krishna,855.0,152.0,13.0,2.0,1.0
Andhra Pradesh,Kurnool,926.0,131.0,17.0,4.0,1.0
Andhra Pradesh,Prakasam,911.0,115.0,13.0,4.0,1.0
Andhra Pradesh,Sri Potti Sriramulu Nellore,683.0,112.0,14.0,2.0,1.0
Andhra Pradesh,Srikakulam,850.0,99.0,13.0,4.0,2.0
Andhra Pradesh,Visakhapatnam,808.0,163.0,10.0,4.0,2.0
Andhra Pradesh,Vizianagaram,673.0,88.0,8.0,3.0,2.0
Andhra Pradesh,West Godavari,940.0,128.0,10.0,6.0,1.0
Andhra Pradesh,Y.S.R.,681.0,110.0,9.0,4.0,1.0
Arunachal Pradesh,Anjaw,8.0,6.0,4.0,0.0,1.0
Arunachal Pradesh,Changlang,25.0,7.0,5.0,0.0,1.0
Arunachal Pradesh,Dibang Valley,5.0,1.0,0.0,0.0,1.0
Arunachal Pradesh,East Kameng,17.0,8.0,1.0,0.0,1.0
Arunachal Pradesh,East Siang,16.0,9.0,2.0,0.0,1.0
Arunachal Pradesh,Kamle,20.0,4.0,2.0,0.0,0.0
Arunachal Pradesh,Kra Daadi,8.0,6.0,0.0,0.0,1.0
Arunachal Pradesh,Kurung Kumey,13.0,4.0,2.0,0.0,1.0
Arunachal Pradesh,Leparada,10.0,2.0,0.0,0.0,0.0
Arunachal Pradesh,Lohit,13.0,4.0,2.0,0.0,1.0
Arunachal Pradesh,Longding,8.0,2.0,3.0,0.0,0.0
Arunachal Pradesh,Lower Dibang Valley,13.0,4.0,4.0,0.0,1.0
Arunachal Pradesh,Lower Siang,4.0,5.0,1.0,0.0,1.0
Arunachal Pradesh,Lower Subansiri,23.0,5.0,2.0,0.0,1.0
Arunachal Pradesh,Namsai,15.0,4.0,2.0,0.0,1.0
Arunachal Pradesh,Pakke Kessang,10.0,3.0,2.0,0.0,0.0
Arunachal Pradesh,Papum Pare,37.0,17.0,4.0,0.0,0.0
Arunachal Pradesh,Shi Yomi,0.0,2.0,1.0,0.0,0.0
Arunachal Pradesh,Siang,27.0,7.0,2.0,0.0,1.0
Arunachal Pradesh,Tawang,12.0,6.0,2.0,0.0,1.0
Arunachal Pradesh,Tirap,10.0,7.0,1.0,0.0,1.0
Arunachal Pradesh,Upper Siang,13.0,2.0,4.0,0.0,1.0
Arunachal Pradesh,Upper Subansiri,23.0,5.0,4.0,0.0,1.0
Arunachal Pradesh,West Kameng,22.0,5.0,5.0,0.0,1.0
Arunachal Pradesh,West Siang,15.0,6.0,2.0,0.0,1.0
Assam,Baksa,157.0,35.0,8.0,0.0,1.0
Assam,Barpeta,264.0,50.0,11.0,1.0,1.0
Assam,Biswanath,139.0,26.0,3.0,2.0,0.0
Assam,Bongaigaon,108.0,29.0,4.0,0.0,1.0
Assam,Cachar,270.0,35.0,7.0,0.0,1.0
Assam,Charaideo,70.0,19.0,2.0,1.0,0.0
Assam,Chirang,87.0,24.0,4.0,0.0,1.0
Assam,Darrang,159.0,34.0,7.0,0.0,1.0
Assam,Dhemaji,98.0,23.0,5.0,0.0,1.0
Assam,Dibrugarh,234.0,31.0,10.0,0.0,0.0
Assam,Dima Hasao,76.0,12.0,3.0,0.0,1.0
Assam,Goalpara,155.0,37.0,7.0,0.0,1.0
Assam,Golaghat,143.0,39.0,9.0,1.0,1.0
Assam,Hailakandi,107.0,13.0,4.0,0.0,1.0
Assam,Hojai,94.0,7.0,5.0,0.0,1.0
Assam,Jorhat,110.0,36.0,6.0,1.0,0.0
Assam,Kamrup,280.0,65.0,13.0,1.0,1.0
Assam,Kamrup Metro,50.0,48.0,3.0,0.0,1.0
Assam,Karbi Anglong,115.0,24.0,6.0,0.0,0.0
Assam,Karimganj,232.0,29.0,7.0,0.0,1.0
Assam,Kokrajhar,161.0,46.0,2.0,1.0,1.0
Assam,Lakhimpur,149.0,29.0,9.0,1.0,0.0
Assam,Majuli,34.0,8.0,2.0,0.0,1.0
Assam,Marigaon,122.0,34.0,6.0,0.0,1.0
Assam,Nagaon,258.0,72.0,13.0,0.0,1.0
Assam,Nalbari,124.0,44.0,11.0,0.0,1.0
Assam,Sivasagar,150.0,27.0,2.0,1.0,1.0
Assam,Sonitpur,146.0,29.0,6.0,0.0,1.0
Assam,South Salmara Mancachar,51.0,7.0,2.0,1.0,0.0
Assam,Tinsukia,166.0,22.0,8.0,1.0,1.0
Assam,Udalguri,150.0,24.0,7.0,0.0,1.0
Assam,West Karbi Anglong,50.0,18.0,2.0,1.0,0.0
Bihar,Araria,221.0,39.0,6.0,1.0,1.0
Bihar,Arwal,62.0,30.0,3.0,0.0,1.0
Bihar,Aurangabad,248.0,68.0,8.0,1.0,1.0
Bihar,Banka,242.0,34.0,8.0,0.0,1.0
Bihar,Begusarai,290.0,40.0,7.0,1.0,1.0
Bihar,Bhagalpur,327.0,66.0,11.0,2.0,1.0
Bihar,Bhojpur,300.0,39.0,10.0,1.0,1.0
Bihar,Buxar,149.0,35.0,4.0,1.0,1.0
Bihar,Darbhanga,259.0,63.0,10.0,2.0,0.0
Bihar,Gaya,473.0,73.0,18.0,2.0,1.0
Bihar,Gopalganj,189.0,30.0,10.0,1.0,1.0
Bihar,Jamui,277.0,36.0,7.0,0.0,1.0
Bihar,Jehanabad,110.0,33.0,6.0,0.0,1.0
Bihar,Kaimur (Bhabua),181.0,27.0,5.0,1.0,1.0
Bihar,Katihar,340.0,57.0,7.0,2.0,1.0
Bihar,Khagaria,187.0,26.0,4.0,0.0,1.0
Bihar,Kishanganj,258.0,16.0,4.0,0.0,1.0
Bihar,Lakhisarai,102.0,19.0,3.0,0.0,1.0
Bihar,Madhepura,272.0,27.0,8.0,1.0,1.0
Bihar,Madhubani,436.0,85.0,13.0,3.0,1.0
Bihar,Munger,154.0,32.0,3.0,1.0,1.0
Bihar,Muzaffarpur,520.0,88.0,14.0,0.0,1.0
Bihar,Nalanda,367.0,65.0,8.0,2.0,1.0
Bihar,Nawada,173.0,45.0,8.0,1.0,1.0
Bihar,Pashchim Champaran,554.0,44.0,11.0,2.0,0.0
Bihar,Purbi Champaran,413.0,90.0,14.0,3.0,1.0
Bihar,Purnia,472.0,51.0,5.0,2.0,1.0
Bihar,Rohtas,255.0,48.0,6.0,2.0,1.0
Bihar,Saharsa,166.0,40.0,4.0,1.0,1.0
Bihar,Samastipur,358.0,59.0,12.0,4.0,1.0
Bihar,Saran,394.0,52.0,14.0,1.0,1.0
Bihar,Sheikhpura,75.0,15.0,2.0,0.0,1.0
Bihar,Sheohar,96.0,13.0,2.0,0.0,1.0
Bihar,Sitamarhi,208.0,45.0,13.0,1.0,1.0
Bihar,Siwan,379.0,53.0,14.0,1.0,1.0
Bihar,Supaul,173.0,29.0,6.0,1.0,1.0
Bihar,Vaishali,336.0,49.0,5.0,1.0,1.0
Chandigarh,Chandigarh,0.0,43.0,2.0,1.0,1.0
Chhattisgarh,Balod,196.0,30.0,6.0,0.0,1.0
Chhattisgarh,Balodabazar-Bhatapara,219.0,31.0,6.0,1.0,1.0
Chhattisgarh,Balrampur Ramanujganj,192.0,28.0,6.0,0.0,1.0
Chhattisgarh,Bastar,243.0,40.0,7.0,1.0,1.0
Chhattisgarh,Bemetara,127.0,20.0,4.0,1.0,1.0
Chhattisgarh,Bijapur,77.0,10.0,5.0,0.0,1.0
Chhattisgarh,Bilaspur,228.0,44.0,5.0,0.0,1.0
