State,District,Households,Landless_Manual_Labour,Non_Agricultural_Enterprise,Income_Tax_Households,Government_Salaried,Private_Salaried,Income_Above_10000,Refrigerator,Four_Wheeler,Kisan_Credit_Card
Andaman and Nicobar Islands,Nicobars,9113,861,368,1834,2313,1095,2184,1855,127,30
Andaman and Nicobar Islands,North And Middle Andaman,28056,5102,1286,5834,7190,687,7450,7984,1045,459
Andaman and Nicobar Islands,South Andamans,22978,4172,1312,4959,6102,6546,6100,7692,878,244
Andhra Pradesh,Ananthapuramu,929561,270916,34539,12670,9525,7669,43455,32990,4977,38418
Andhra Pradesh,Chittoor,1251667,406047,33067,84078,30343,75302,111645,113173,13195,10979
Andhra Pradesh,East Godavari,1546974,1074314,21969,25510,29177,29655,46051,100213,6690,8634
Andhra Pradesh,Guntur,1531355,847209,23130,30276,17271,21322,54354,77333,5699,15471
Andhra Pradesh,Krishna,1207361,708260,20073,31357,28569,57343,58524,116656,9710,10333
Andhra Pradesh,Kurnool,802437,258606,20826,23956,10130,9280,56022,29551,5341,16088
Andhra Pradesh,Prakasam,1173114,545830,49480,25360,20979,16209,58772,50062,15305,21560
Andhra Pradesh,Sri Potti Sriramulu Nellore,763041,405500,20848,26456,17224,16353,33060,61183,6936,9077
Andhra Pradesh,Srikakulam,670378,313684,19546,22174,24481,9982,35420,27094,2545,13415
Andhra Pradesh,Visakhapatnam,672230,307068,19767,32960,13689,11314,21623,27275,2565,7981
Andhra Pradesh,Vizianagaram,542298,286582,13631,14202,16023,11994,19124,19066,1672,2052
Andhra Pradesh,West Godavari,1415174,820673,21325,32908,22208,25468,44362,101788,8173,4231
Andhra Pradesh,Y.S.R.,781638,239321,13813,10130,6356,9856,27656,53466,3227,13776
Arunachal Pradesh,Anjaw,3829,225,61,93,750,40,623,139,44,5
Arunachal Pradesh,Changlang,5558,447,153,426,716,75,683,272,74,46
Arunachal Pradesh,Dibang Valley,1299,123,26,30,270,17,141,34,21,1
Arunachal Pradesh,East Kameng,8648,184,187,222,1298,77,1021,405,56,27
Arunachal Pradesh,East Siang,11480,1377,461,342,1978,208,2068,1195,138,101
Arunachal Pradesh,Kamle,2014,27,97,347,335,12,258,269,27,24
Arunachal Pradesh,Kra Daadi,207,9,3,3,35,5,17,3,0,0
Arunachal Pradesh,Kurung Kumey,190,3,3,2,7,0,6,7,2,0
Arunachal Pradesh,Lohit,4314,465,109,107,654,81,593,358,8,74
Arunachal Pradesh,Longding,6812,75,175,158,532,76,426,156,9,44
Arunachal Pradesh,Lower Dibang Valley,7796,789,198,214,1313,283,1093,486,152,27
Arunachal Pradesh,Lower Siang,9985,362,388,489,2114,103,1893,1048,116,28
Arunachal Pradesh,Lower Subansiri,863,37,36,125,178,3,87,64,18,3
Arunachal Pradesh,Namsai,10425,1667,257,323,1047,752,902,555,27,62
Arunachal Pradesh,Papum Pare,359,18,2,5,66,3,73,71,7,0
Arunachal Pradesh,Siang,8562,178,220,362,850,23,601,271,64,30
Arunachal Pradesh,Tawang,8863,2029,62,246,1589,116,1370,261,504,19
Arunachal Pradesh,Tirap,1050,2,1,12,147,2,130,35,4,3
Arunachal Pradesh,Upper Siang,5824,230,46,29,1064,47,570,193,77,15
Arunachal Pradesh,Upper Subansiri,14880,409,697,1239,1848,54,1458,1165,189,138
Arunachal Pradesh,West Kameng,11009,1274,283,634,1829,141,1670,493,123,38
Arunachal Pradesh,West Siang,9454,243,380,223,1566,108,1224,834,168,38
Assam,Baksa,200873,57770,6757,14874,15490,3210,17119,5637,2327,1324
Assam,Barpeta,324478,135448,6234,16625,23156,3032,24966,10072,3524,1959
Assam,Biswanath,122891,34175,6755,11093,6258,7509,7212,4597,2002,150
Assam,Bongaigaon,134259,55336,2310,10165,11763,835,12369,4478,1792,808
Assam,Cachar,357047,121456,17960,31279,26328,11817,34280,19987,4440,5474
Assam,Charaideo,86938,28840,2755,7512,5899,12765,6145,4808,2847,611
Assam,Chirang,98762,28714,2760,9385,6255,1545,8405,4612,2437,875
Assam,Darrang,176283,56631,4300,9276,11311,1945,11627,4813,2319,1518
Assam,Dhemaji,129336,10411,4783,8197,8941,1196,9483,5207,2645,2502
Assam,Dhubri,268743,139413,3424,8290,9764,1045,11941,4586,1725,823
Assam,Dibrugarh,244630,74087,8175,23964,18489,32625,29387,26607,16875,2200
Assam,Dima Hasao,31550,2879,1181,4722,4496,506,3277,839,310,343
Assam,Goalpara,189520,81547,5479,7467,10692,1078,12390,6295,3157,1795
Assam,Golaghat,210230,48387,5422,11648,13730,9117,16387,11669,6847,2385
Assam,Hailakandi,138654,37450,7132,11989,9295,2454,9597,7954,1151,3244
Assam,Hojai,94787,28183,1711,2877,3932,1512,5193,3758,1220,543
Assam,Jorhat,251205,73968,11254,33193,40370,21515,45971,42092,20163,2315
Assam,Kamrup,323919,100847,14882,28553,38390,9634,41082,24375,13302,3376
Assam,Kamrup Metro,54802,16150,1778,4398,7421,2702,8547,7228,5665,204
Assam,Karbi Anglong,106532,14983,2891,5528,7902,3811,6978,7683,2526,1682
Assam,Karimganj,181827,64007,6754,14615,10088,3644,12561,7350,2060,1542
Assam,Kokrajhar,180213,48220,5147,9626,11822,1318,11973,5695,1951,2304
Assam,Lakhimpur,190175,37801,6328,14204,16971,4334,17102,8093,5102,2274
Assam,Majuli,33041,2567,1263,3148,3859,241,3418,2157,660,294
Assam,Marigaon,186494,63652,3661,10491,11551,1715,12866,7368,3112,1703
Assam,Nagaon,404171,119474,12670,19601,28460,7734,28744,20578,6605,3320
Assam,Nalbari,154044,53870,6589,17772,22567,3670,24093,7201,3203,870
Assam,Sivasagar,174573,39560,5650,20846,22428,13700,24947,18466,10834,1863
Assam,Sonitpur,306153,80886,9596,33382,27513,16991,29492,27415,8438,1844
Assam,South Salmara Mancachar,123341,73948,964,2392,3314,254,4068,1093,983,780
Assam,Tinsukia,233987,71680,10696,17929,15817,44412,22167,20794,9154,2525
Assam,Udalguri,170174,54844,3357,6889,8326,6589,9763,4380,2265,1818
Assam,West Karbi Anglong,48705,3980,2317,2685,2896,465,2365,2876,499,1265
Bihar,Araria,650191,375469,9624,7569,10846,2934,20347,15868,3634,11464
Bihar,Arwal,115379,63287,3151,5629,8187,1525,10890,2038,1295,3304
Bihar,Aurangabad,370285,199919,5658,11700,17737,3688,33974,16301,7267,14605
Bihar,Banka,397367,182502,13418,9069,10970,4544,19944,14920,2909,9172
Bihar,Begusarai,508862,333491,6592,12376,19662,4116,32309,9326,7487,15874
Bihar,Bhagalpur,485762,300874,8192,15476,24136,3182,37508,16601,13368,8529
Bihar,Bhojpur,426775,242116,6776,17971,31068,7008,41690,6777,4054,12650
Bihar,Buxar,241661,126929,3840,9846,15366,3999,25866,6054,3465,8719
Bihar,Darbhanga,977418,602815,11374,21618,33439,18481,48845,19323,6987,12636
Bihar,Gaya,665944,326817,15465,19378,24836,7204,46673,19425,6368,22730
Bihar,Gopalganj,394660,109615,6471,10901,15654,15623,39086,9521,6077,10313
Bihar,Jamui,292670,125886,5295,5882,8648,1728,16247,10672,2377,7164
Bihar,Jehanabad,170675,94849,5153,9609,13519,1648,17621,4474,1701,6998
Bihar,Kaimur (Bhabua),237393,125439,3243,7103,10801,1757,21724,10635,7683,13541
Bihar,Katihar,650044,423243,10469,11583,16341,2625,29076,20812,5218,12700
Bihar,Khagaria,390899,266626,4765,9606,13649,2223,21051,10470,3867,7681
Bihar,Kishanganj,308989,204893,6734,4395,4740,980,7368,7417,1446,5526
Bihar,Lakhisarai,141284,81860,3862,4414,6057,1278,9275,2587,956,2876
Bihar,Madhepura,529361,248725,6334,11037,18723,2845,21087,22027,6045,10028
Bihar,Madhubani,1029016,510910,14351,21646,32561,34717,62842,16345,5327,14047
Bihar,Munger,233134,158142,2689,15783,19537,907,22182,5619,3112,2841
Bihar,Muzaffarpur,1008082,530692,14762,27083,37165,15681,66062,29027,10628,23259
Bihar,Nalanda,474078,268922,8776,19870,29042,2038,43202,11307,4799,15128
Bihar,Nawada,356367,200559,6103,9618,14164,1779,21837,9615,3138,7936
Bihar,Pashchim Champaran,746302,427122,7473,13215,16802,2274,42121,16398,12202,20674
Bihar,Patna,695003,457560,11424,29398,34000,22484,50929,20851,5319,14779
Bihar,Purbi Champaran,961567,550950,13210,16081,17927,14692,57527,26555,10921,27862
Bihar,Purnia,733082,442853,10802,10956,12154,2240,27876,14462,5994,15851
Bihar,Rohtas,409379,216882,8226,15329,21531,5688,41236,18281,9102,19863
Bihar,Saharsa,401095,236352,6916,10310,15269,2288,19780,8072,3410,4905
Bihar,Samastipur,949588,502186,15759,27851,41756,17767,63003,18785,8995,28874
Bihar,Saran,601329,214186,11570,24752,37559,9625,59188,18156,7672,7893
Bihar,Sheikhpura,92132,53494,1720,3064,4646,284,7201,1657,1164,1614
Bihar,Sheohar,151903,93303,2388,2629,3643,730,7317,1520,1300,2663
Bihar,Sitamarhi,852415,490033,10575,17291,23071,8122,53074,16108,6879,16229
Bihar,Siwan,534103,161137,7813,18123,25570,14739,67543,15371,8193,10509
Bihar,Supaul,525924,278964,18662,8035,13384,1869,22199,12610,4886,12745
Bihar,Vaishali,650211,402513,6868,20668,30364,6590,49788,9914,6524,10425
Chandigarh,Chandigarh,15657,2690,1182,1779,1994,7139,3492,7373,896,50
Chhattisgarh,Balod,152116,39152,1045,3672,9808,438,7948,6233,2292,6805
Chhattisgarh,Balodabazar-Bhatapara,261235,97038,1600,3390,7918,2532,7490,8194,3011,5613
Chhattisgarh,Balrampur Ramanujganj,160326,42604,761,1343,5804,239,2902,3857,1181,1786
Chhattisgarh,Bastar,166813,51380,703,2514,7948,808,4297,4513,1241,1510
Chhattisgarh,Bemetara,146246,57471,485,1372,4212,317,4188,4496,2680,9426
Chhattisgarh,Bijapur,49523,7490,171,421,2108,110,1433,869,196,217
Chhattisgarh,Bilaspur,351453,187283,2166,11902,19245,4367,16934,20342,5309,4489
Chhattisgarh,Dakshin Bastar Dantewada,48774,6097,216,714,2260,46,1557,1683,261,338
Chhattisgarh,Dhamtari,153712,60320,1846,3626,10494,1075,8598,6763,2485,5553
Chhattisgarh,Durg,126436,60525,638,3159,5536,2586,6387,6403,2383,7113
Chhattisgarh,Gariyaband,141996,71938,570,936,4848,133,2466,3518,815,1619
Chhattisgarh,Janjgir-Champa,343006,149794,1485,4946,13963,2078,9892,13287,2533,5078
Chhattisgarh,Jashpur,184116,42705,1744,3815,10019,436,5146,5147,1566,1989
Chhattisgarh,Kabeerdham,132735,60479,471,569,3854,90,3422,2315,1372,4159
Chhattisgarh,Kondagaon,110488,13751,795,2761,5099,153,2046,3568,813,1028
