Dataset,State,Census_District,Suggested_District,Similarity
NFHS,Uttarakhand,Udham Singh Nagar,Udam Singh Nagar,0.97
RHS,Uttarakhand,Udham Singh Nagar,Udam Singh Nagar,0.97
SECC,Uttarakhand,Udham Singh Nagar,Udam Singh Nagar,0.97
RBI,Uttarakhand,Udham Singh Nagar,Udam Singh Nagar,0.97
NFHS,Karnataka,Chamarajanagar,Chamarajanagara,0.966
SECC,Karnataka,Chamarajanagar,Chamarajanagara,0.966
RBI,Karnataka,Chamarajanagar,Chamarajanagara,0.966
NFHS,Uttar Pradesh,Siddharthnagar,Siddharth Nagar,0.966
RHS,Uttar Pradesh,Siddharthnagar,Siddharth Nagar,0.966
SECC,Uttar Pradesh,Siddharthnagar,Siddharth Nagar,0.966
RBI,Uttar Pradesh,Siddharthnagar,Siddharth Nagar,0.966
NFHS,Andaman and Nicobar Islands,South Andaman,South Andamans,0.963
RHS,Andaman and Nicobar Islands,South Andaman,South Andamans,0.963
SECC,Andaman and Nicobar Islands,South Andaman,South Andamans,0.963
RBI,Andaman and Nicobar Islands,South Andaman,South Andamans,0.963
NFHS,Odisha,Nabarangapur,Nabarangpur,0.957
RHS,Odisha,Nabarangapur,Nabarangpur,0.957
SECC,Odisha,Nabarangapur,Nabarangpur,0.957
RBI,Odisha,Nabarangapur,Nabarangpur,0.957
NFHS,Uttarakhand,Rudraprayag,Rudra Prayag,0.957
RHS,Uttarakhand,Rudraprayag,Rudra Prayag,0.957
SECC,Uttarakhand,Rudraprayag,Rudra Prayag,0.957
RBI,Uttarakhand,Rudraprayag,Rudra Prayag,0.957
NFHS,Uttar Pradesh,Kushinagar,Kushi Nagar,0.952
RHS,Uttar Pradesh,Kushinagar,Kushi Nagar,0.952
SECC,Uttar Pradesh,Kushinagar,Kushi Nagar,0.952
RBI,Uttar Pradesh,Kushinagar,Kushi Nagar,0.952
NFHS,Uttarakhand,Uttarkashi,Uttar Kashi,0.952
RHS,Uttarakhand,Uttarkashi,Uttar Kashi,0.952
SECC,Uttarakhand,Uttarkashi,Uttar Kashi,0.952
RBI,Uttarakhand,Uttarkashi,Uttar Kashi,0.952
NFHS,Jharkhand,Saraikela-Kharsawan,Saraikela Kharsawan,0.947
RHS,Jharkhand,Saraikela-Kharsawan,Saraikela Kharsawan,0.947
SECC,Jharkhand,Saraikela-Kharsawan,Saraikela Kharsawan,0.947
RBI,Jharkhand,Saraikela-Kharsawan,Saraikela Kharsawan,0.947
NFHS,Karnataka,Davanagere,Davangere,0.947
RHS,Karnataka,Davanagere,Davangere,0.947
SECC,Karnataka,Davanagere,Davangere,0.947
RBI,Karnataka,Davanagere,Davangere,0.947
NFHS,Rajasthan,Jhunjhunun,Jhunjhunu,0.947
RHS,Rajasthan,Jhunjhunun,Jhunjhunu,0.947
SECC,Rajasthan,Jhunjhunun,Jhunjhunu,0.947
RBI,Rajasthan,Jhunjhunun,Jhunjhunu,0.947
NFHS,Uttar Pradesh,Bara Banki,Barabanki,0.947
RHS,Uttar Pradesh,Bara Banki,Barabanki,0.947
SECC,Uttar Pradesh,Bara Banki,Barabanki,0.947
RBI,Uttar Pradesh,Bara Banki,Barabanki,0.947
NFHS,Jammu and Kashmir,Baramula,Baramulla,0.941
RHS,Jammu and Kashmir,Baramula,Baramulla,0.941
SECC,Jammu and Kashmir,Baramula,Baramulla,0.941
RBI,Jammu and Kashmir,Baramula,Baramulla,0.941
NFHS,Karnataka,Bagalkot,Bagalkote,0.941
RHS,Karnataka,Bagalkot,Bagalkote,0.941
SECC,Karnataka,Bagalkot,Bagalkote,0.941
RBI,Karnataka,Bagalkot,Bagalkote,0.941
NFHS,Bihar,Purba Champaran,Purbi Champaran,0.933
RHS,Bihar,Purba Champaran,Purbi Champaran,0.933
SECC,Bihar,Purba Champaran,Purbi Champaran,0.933
RBI,Bihar,Purba Champaran,Purbi Champaran,0.933
NFHS,Chhattisgarh,Janjgir - Champa,Janjgir-Champa,0.933
RHS,Chhattisgarh,Janjgir - Champa,Janjgir-Champa,0.933
SECC,Chhattisgarh,Janjgir - Champa,Janjgir-Champa,0.933
RBI,Chhattisgarh,Janjgir - Champa,Janjgir-Champa,0.933
NFHS,Maharashtra,Buldana,Buldhana,0.933
RHS,Maharashtra,Buldana,Buldhana,0.933
SECC,Maharashtra,Buldana,Buldhana,0.933
RBI,Maharashtra,Buldana,Buldhana,0.933
NFHS,Uttarakhand,Hardwar,Haridwar,0.933
RHS,Uttarakhand,Hardwar,Haridwar,0.933
SECC,Uttarakhand,Hardwar,Haridwar,0.933
RBI,Uttarakhand,Hardwar,Haridwar,0.933
NFHS,West Bengal,Puruliya,Purulia,0.933
RHS,West Bengal,Puruliya,Purulia,0.933
SECC,West Bengal,Puruliya,Purulia,0.933
RBI,West Bengal,Puruliya,Purulia,0.933
NFHS,Maharashtra,Gondiya,Gondia,0.923
RHS,Maharashtra,Gondiya,Gondia,0.923
SECC,Maharashtra,Gondiya,Gondia,0.923
RBI,Maharashtra,Gondiya,Gondia,0.923
NFHS,Meghalaya,Ribhoi,Ri Bhoi,0.923
RHS,Meghalaya,Ribhoi,Ri Bhoi,0.923
SECC,Meghalaya,Ribhoi,Ri Bhoi,0.923
RBI,Meghalaya,Ribhoi,Ri Bhoi,0.923
NFHS,Andaman and Nicobar Islands,North & Middle Andaman,North And Middle Andaman,0.913
RHS,Andaman and Nicobar Islands,North & Middle Andaman,North And Middle Andaman,0.913
SECC,Andaman and Nicobar Islands,North & Middle Andaman,North And Middle Andaman,0.913
RBI,Andaman and Nicobar Islands,North & Middle Andaman,North And Middle Andaman,0.913
NFHS,Rajasthan,Jalor,Jalore,0.909
RHS,Rajasthan,Jalor,Jalore,0.909
SECC,Rajasthan,Jalor,Jalore,0.909
RBI,Rajasthan,Jalor,Jalore,0.909
NFHS,West Bengal,Maldah,Malda,0.909
RHS,West Bengal,Maldah,Malda,0.909
SECC,West Bengal,Maldah,Malda,0.909
RBI,West Bengal,Maldah,Malda,0.909
RHS,Delhi,South West,South East,0.9
NFHS,Maharashtra,Ahmadnagar,Ahmednagar,0.9
RHS,Maharashtra,Ahmadnagar,Ahmednagar,0.9
SECC,Maharashtra,Ahmadnagar,Ahmednagar,0.9
RBI,Maharashtra,Ahmadnagar,Ahmednagar,0.9
NFHS,Tamil Nadu,Viluppuram,Villupuram,0.9
RHS,Tamil Nadu,Viluppuram,Villupuram,0.9
SECC,Tamil Nadu,Viluppuram,Villupuram,0.9
RBI,Tamil Nadu,Viluppuram,Villupuram,0.9
NFHS,Jammu and Kashmir,Bandipore,Bandipora,0.889
RHS,Jammu and Kashmir,Bandipore,Bandipora,0.889
SECC,Jammu and Kashmir,Bandipore,Bandipora,0.889
RBI,Jammu and Kashmir,Bandipore,Bandipora,0.889
NFHS,Jharkhand,Sahibganj,Sahebganj,0.889
RHS,Jharkhand,Sahibganj,Sahebganj,0.889
SECC,Jharkhand,Sahibganj,Sahebganj,0.889
RBI,Jharkhand,Sahibganj,Sahebganj,0.889
NFHS,Karnataka,Chikmagalur,Chikkamagaluru,0.88
RHS,Karnataka,Chikmagalur,Chikkamagaluru,0.88
SECC,Karnataka,Chikmagalur,Chikkamagaluru,0.88
RBI,Karnataka,Chikmagalur,Chikkamagaluru,0.88
NFHS,Assam,Morigaon,Marigaon,0.875
RHS,Assam,Morigaon,Marigaon,0.875
SECC,Assam,Morigaon,Marigaon,0.875
RBI,Assam,Morigaon,Marigaon,0.875
NFHS,Rajasthan,Chittaurgarh,Chittorgarh,0.87
SECC,Rajasthan,Chittaurgarh,Chittorgarh,0.87
RBI,Rajasthan,Chittaurgarh,Chittorgarh,0.87
NFHS,Tamil Nadu,Kancheepuram,Kanchipuram,0.87
RHS,Tamil Nadu,Kancheepuram,Kanchipuram,0.87
SECC,Tamil Nadu,Kancheepuram,Kanchipuram,0.87
RBI,Tamil Nadu,Kancheepuram,Kanchipuram,0.87
NFHS,Himachal Pradesh,Lahul & Spiti,Lahul And Spiti,0.857
RHS,Himachal Pradesh,Lahul & Spiti,Lahul And Spiti,0.857
SECC,Himachal Pradesh,Lahul & Spiti,Lahul And Spiti,0.857
RBI,Himachal Pradesh,Lahul & Spiti,Lahul And Spiti,0.857
NFHS,Jharkhand,Kodarma,Koderma,0.857
RHS,Jharkhand,Kodarma,Koderma,0.857
SECC,Jharkhand,Kodarma,Koderma,0.857
RBI,Jharkhand,Kodarma,Koderma,0.857
NFHS,Karnataka,Tumkur,Tumakuru,0.857
RHS,Karnataka,Tumkur,Tumakuru,0.857
SECC,Karnataka,Tumkur,Tumakuru,0.857
RBI,Karnataka,Tumkur,Tumakuru,0.857
NFHS,West Bengal,Darjiling,Darjeeling,0.842
RHS,West Bengal,Darjiling,Darjeeling,0.842
SECC,West Bengal,Darjiling,Darjeeling,0.842
RBI,West Bengal,Darjiling,Darjeeling,0.842
NFHS,Meghalaya,Jaintia Hills,East Jaintia Hills,0.839
RHS,Meghalaya,Jaintia Hills,East Jaintia Hills,0.839
SECC,Meghalaya,Jaintia Hills,East Jaintia Hills,0.839
RBI,Meghalaya,Jaintia Hills,East Jaintia Hills,0.839
NFHS,Jammu and Kashmir,Badgam,Budgam,0.833
RHS,Jammu and Kashmir,Badgam,Budgam,0.833
SECC,Jammu and Kashmir,Badgam,Budgam,0.833
RBI,Jammu and Kashmir,Badgam,Budgam,0.833
NFHS,Karnataka,Shimoga,Shivamogga,0.824
RHS,Karnataka,Shimoga,Shivamogga,0.824
SECC,Karnataka,Shimoga,Shivamogga,0.824
RBI,Karnataka,Shimoga,Shivamogga,0.824
NFHS,Punjab,Firozpur,Ferozepur,0.824
RHS,Punjab,Firozpur,Ferozepur,0.824
SECC,Punjab,Firozpur,Ferozepur,0.824
RBI,Punjab,Firozpur,Ferozepur,0.824
NFHS,Andhra Pradesh,Anantapur,Ananthapuramu,0.818
RHS,Andhra Pradesh,Anantapur,Ananthapuramu,0.818
